onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	LargeLoss	0.037	2	2.004	1.5	3.503	0.317	You keep $5!	3.903	1.633	1	233	Correct Response!
n/a	n/a	LargeGain	5.52	2	7.503	2.0	9.503	0.317	You earn $5!	9.903	1.633	1	234	Correct Response!
n/a	n/a	NoMoneyStake	11.519	2	13.502	4.0	17.502	0.317	No money at stake!	17.902	1.633	1	232	Correct Response!
n/a	n/a	LargeLoss	19.518	2	21.502	1.5	23.001	0.317	You keep $5!	23.401	1.633	1	248	Correct Response!
n/a	n/a	LargeGain	25.018	2	27.001	1.5	28.501	0.267	You earn $5!	28.851	1.683	1	265	Correct Response!
n/a	n/a	LargeLoss	30.517	2	32.5	2.0	34.5	0.267	You keep $5!	34.85	1.683	1	211	Correct Response!
n/a	n/a	NoMoneyStake	36.517	2	38.5	3.0	41.499	0.267	No money at stake!	41.849	1.683	1	215	Correct Response!
n/a	n/a	SmallGain	43.516	2	45.499	2.0	47.499	0.267	You earn $0.20!	47.849	1.683	1	237	Correct Response!
n/a	n/a	NoMoneyStake	49.515	2	51.498	2.0	53.498	0.217	No money at stake!	53.798	1.733	1	215	Correct Response!
n/a	n/a	SmallGain	55.515	2	57.498	2.5	59.997	0.217	You earn $0.20!	60.297	1.733	1	205	Correct Response!
n/a	n/a	NoMoneyStake	62.014	2	63.997	3.5	67.497	0.217	No money at stake!	67.797	1.733	0	0	You pressed too slow!
n/a	n/a	SmallGain	69.513	2	71.496	4.0	75.496	0.217	You earn $0.20!	75.796	1.733	1	205	Correct Response!
n/a	n/a	SmallLoss	77.512	2	79.495	4.0	83.495	0.217	You keep $0.20!	83.795	1.733	1	216	Correct Response!
n/a	n/a	SmallGain	85.511	2	87.494	1.5	88.994	0.167	You did not earn $0.20!	89.244	1.783	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	91.011	2	92.994	1.5	94.494	0.167	No money at stake!	94.744	1.783	0	0	You pressed too slow!
n/a	n/a	LargeLoss	96.51	2	98.493	1.5	99.993	0.167	You lose $5!	100.243	1.783	0	0	You pressed too slow!
n/a	n/a	SmallLoss	102.01	2	103.993	2.0	105.992	0.167	You lose $0.20!	106.242	1.783	0	0	You pressed too soon!
n/a	n/a	SmallGain	108.009	2	109.992	3.0	112.992	0.187	You did not earn $0.20!	113.258	1.763	0	0	You pressed too soon!
n/a	n/a	LargeLoss	115.008	2	116.991	3.5	120.491	0.187	You lose $5!	120.758	1.763	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	122.507	2	124.49	1.5	125.99	0.187	No money at stake!	126.257	1.763	0	0	You pressed too slow!
n/a	n/a	LargeLoss	128.007	2	129.99	1.5	131.49	0.187	You lose $5!	131.756	1.763	0	0	You pressed too slow!
n/a	n/a	SmallLoss	133.506	2	135.489	3.5	138.989	0.257	You keep $0.20!	139.322	1.693	1	206	Correct Response!
n/a	n/a	SmallGain	141.005	2	142.988	1.5	144.488	0.257	You did not earn $0.20!	144.822	1.693	0	0	You pressed too slow!
n/a	n/a	SmallLoss	146.505	2	148.488	2.5	150.988	0.257	You keep $0.20!	151.321	1.693	1	201	Correct Response!
n/a	n/a	SmallLoss	153.004	2	154.987	1.5	156.487	0.297	You keep $0.20!	156.87	1.653	1	272	Correct Response!
n/a	n/a	LargeLoss	158.503	2	160.487	2.5	162.986	0.297	You keep $5!	163.37	1.653	1	213	Correct Response!
n/a	n/a	SmallGain	165.003	2	166.986	1.5	168.486	0.297	You earn $0.20!	168.869	1.653	1	225	Correct Response!
n/a	n/a	LargeGain	170.502	2	172.485	1.5	173.985	0.267	You earn $5!	174.335	1.683	1	259	Correct Response!
n/a	n/a	LargeGain	176.002	2	177.985	2.5	180.484	0.267	You earn $5!	180.834	1.683	1	205	Correct Response!
n/a	n/a	SmallLoss	182.501	2	184.484	2.0	186.484	0.267	You keep $0.20!	186.834	1.683	1	216	Correct Response!
n/a	n/a	SmallGain	188.5	2	190.483	1.5	191.983	0.217	You did not earn $0.20!	192.283	1.733	0	0	You pressed too slow!
n/a	n/a	SmallLoss	194.0	2	195.983	1.5	197.483	0.217	You keep $0.20!	197.783	1.733	1	214	Correct Response!
n/a	n/a	NoMoneyStake	199.499	2	201.482	2.5	203.982	0.217	No money at stake!	204.282	1.733	0	0	You pressed too slow!
n/a	n/a	LargeGain	205.998	2	207.981	1.5	209.481	0.217	You earn $5!	209.781	1.733	1	209	Correct Response!
n/a	n/a	LargeLoss	211.498	2	213.481	2.0	215.481	0.187	You lose $5!	215.747	1.763	0	0	You pressed too slow!
n/a	n/a	LargeGain	217.497	2	219.48	3.5	222.98	0.187	You did not earn $5!	223.247	1.763	0	0	You pressed too slow!
n/a	n/a	LargeLoss	224.996	2	226.979	3.0	229.979	0.187	You lose $5!	230.246	1.763	0	0	You pressed too slow!
n/a	n/a	SmallGain	231.996	2	233.979	2.0	235.979	0.227	You earn $0.20!	236.295	1.723	1	208	Correct Response!
n/a	n/a	SmallLoss	237.995	2	239.978	1.5	241.478	0.227	You lose $0.20!	241.795	1.723	0	0	You pressed too slow!
n/a	n/a	LargeGain	243.494	2	245.477	4.0	249.477	0.227	You earn $5!	249.777	1.723	1	221	Correct Response!
n/a	n/a	NoMoneyStake	251.494	2	253.477	1.5	254.976	0.267	No money at stake!	255.326	1.683	1	205	Correct Response!
n/a	n/a	LargeGain	256.993	2	258.976	2.0	260.976	0.267	You earn $5!	261.326	1.683	1	229	Correct Response!
n/a	n/a	SmallLoss	262.992	2	264.975	3.0	267.975	0.267	You keep $0.20!	268.325	1.683	1	230	Correct Response!
n/a	n/a	NoMoneyStake	269.992	2	271.975	1.5	273.474	0.267	No money at stake!	273.824	1.683	0	0	You pressed too slow!
n/a	n/a	SmallLoss	275.491	2	277.474	1.5	278.974	0.267	You keep $0.20!	279.324	1.683	1	229	Correct Response!
n/a	n/a	LargeLoss	280.99	2	282.973	4.0	286.973	0.237	You keep $5!	287.29	1.713	1	231	Correct Response!
n/a	n/a	NoMoneyStake	288.989	2	290.973	2.0	292.972	0.237	No money at stake!	293.289	1.713	0	0	You pressed too slow!
n/a	n/a	LargeGain	294.989	2	296.972	3.0	299.972	0.237	You earn $5!	300.288	1.713	1	214	Correct Response!
n/a	n/a	LargeGain	301.988	2	303.971	1.5	305.471	0.237	You earn $5!	305.788	1.713	1	226	Correct Response!
n/a	n/a	SmallGain	307.487	2	309.471	3.5	312.97	0.187	You did not earn $0.20!	313.237	1.763	0	0	You pressed too slow!
