onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	LargeGain	0.012	2	2.012	1.5	3.512	0.255	You did not earn $5!	3.845	1.695	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	5.528	2	7.511	3.5	11.011	0.255	No money at stake!	11.344	1.695	1	249	Correct Response!
n/a	n/a	LargeLoss	13.027	2	15.01	1.5	16.51	0.255	You keep $5!	16.843	1.695	1	245	Correct Response!
n/a	n/a	SmallGain	18.527	2	20.51	3.5	24.009	0.255	You earn $0.20!	24.343	1.695	1	230	Correct Response!
n/a	n/a	LargeGain	26.026	2	28.009	1.5	29.509	0.235	You did not earn $5!	29.825	1.715	0	0	You pressed too slow!
n/a	n/a	LargeLoss	31.525	2	33.508	2.5	36.008	0.235	You lose $5!	36.325	1.715	0	0	You pressed too slow!
n/a	n/a	LargeGain	38.024	2	40.007	3.5	43.507	0.235	You earn $5!	43.824	1.715	1	211	Correct Response!
n/a	n/a	LargeLoss	45.523	2	47.507	2.0	49.506	0.255	You keep $5!	49.84	1.695	1	249	Correct Response!
n/a	n/a	NoMoneyStake	51.523	2	53.506	1.5	55.006	0.255	No money at stake!	55.339	1.695	0	0	You pressed too slow!
n/a	n/a	SmallLoss	57.022	2	59.005	4.0	63.005	0.255	You lose $0.20!	63.338	1.695	0	0	You pressed too soon!
n/a	n/a	NoMoneyStake	65.021	2	67.004	2.0	69.004	0.255	No money at stake!	69.338	1.695	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	71.021	2	73.004	3.0	76.003	0.255	No money at stake!	76.337	1.695	1	237	Correct Response!
n/a	n/a	SmallGain	78.02	2	80.003	3.0	83.003	0.255	You did not earn $0.20!	83.336	1.695	0	0	You pressed too slow!
n/a	n/a	SmallLoss	85.019	2	87.002	3.0	90.002	0.295	You keep $0.20!	90.385	1.655	1	276	Correct Response!
n/a	n/a	LargeGain	92.018	2	94.001	2.0	96.001	0.295	You earn $5!	96.384	1.655	1	289	Correct Response!
n/a	n/a	SmallLoss	98.018	2	100.001	2.0	102.001	0.295	You keep $0.20!	102.384	1.655	1	257	Correct Response!
n/a	n/a	LargeLoss	104.017	2	106.0	3.0	109.0	0.275	You keep $5!	109.35	1.675	1	247	Correct Response!
n/a	n/a	SmallLoss	111.016	2	112.999	1.5	114.499	0.275	You lose $0.20!	114.849	1.675	0	0	You pressed too slow!
n/a	n/a	LargeGain	116.516	2	118.499	3.0	121.498	0.275	You did not earn $5!	121.848	1.675	0	0	You pressed too slow!
n/a	n/a	LargeLoss	123.515	2	125.498	4.0	129.497	0.255	You lose $5!	129.831	1.695	0	0	You pressed too slow!
n/a	n/a	SmallGain	131.514	2	133.497	2.5	135.997	0.255	You earn $0.20!	136.33	1.695	1	250	Correct Response!
n/a	n/a	LargeLoss	138.013	2	139.996	3.5	143.496	0.255	You keep $5!	143.829	1.695	1	254	Correct Response!
n/a	n/a	NoMoneyStake	145.512	2	147.495	1.5	148.995	0.275	No money at stake!	149.345	1.675	0	0	You pressed too slow!
n/a	n/a	LargeGain	151.012	2	152.995	2.5	155.495	0.275	You earn $5!	155.845	1.675	1	266	Correct Response!
n/a	n/a	NoMoneyStake	157.511	2	159.494	1.5	160.994	0.275	No money at stake!	161.344	1.675	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	163.01	2	164.994	2.0	166.993	0.275	No money at stake!	167.343	1.675	1	269	Correct Response!
n/a	n/a	LargeGain	169.01	2	170.993	4.0	174.992	0.275	You earn $5!	175.342	1.675	1	252	Correct Response!
n/a	n/a	NoMoneyStake	177.009	2	178.992	2.5	181.492	0.275	No money at stake!	181.842	1.675	1	249	Correct Response!
n/a	n/a	SmallLoss	183.508	2	185.491	2.5	187.991	0.275	You lose $0.20!	188.341	1.675	0	0	You pressed too slow!
n/a	n/a	SmallGain	190.007	2	191.99	2.0	193.99	0.255	You did not earn $0.20!	194.324	1.695	0	0	You pressed too slow!
n/a	n/a	LargeGain	196.007	2	197.99	2.0	199.99	0.255	You did not earn $5!	200.323	1.695	0	0	You pressed too slow!
n/a	n/a	SmallLoss	202.006	2	203.989	2.0	205.989	0.255	You lose $0.20!	206.322	1.695	0	0	You pressed too slow!
n/a	n/a	SmallLoss	208.005	2	209.989	1.5	211.488	0.295	You keep $0.20!	211.872	1.655	1	257	Correct Response!
n/a	n/a	SmallGain	213.505	2	215.488	1.5	216.988	0.295	You earn $0.20!	217.371	1.655	1	235	Correct Response!
n/a	n/a	SmallGain	219.004	2	220.987	1.5	222.487	0.295	You earn $0.20!	222.87	1.655	1	219	Correct Response!
n/a	n/a	LargeLoss	224.504	2	226.487	1.5	227.986	0.315	You keep $5!	228.386	1.635	1	278	Correct Response!
n/a	n/a	SmallGain	230.003	2	231.986	4.0	235.986	0.315	You earn $0.20!	236.386	1.635	1	226	Correct Response!
n/a	n/a	SmallLoss	238.002	2	239.985	1.5	241.485	0.315	You keep $0.20!	241.885	1.635	1	278	Correct Response!
n/a	n/a	SmallGain	243.501	2	245.484	2.0	247.484	0.265	You earn $0.20!	247.834	1.685	1	242	Correct Response!
n/a	n/a	SmallLoss	249.501	2	251.484	3.5	254.983	0.265	You keep $0.20!	255.333	1.685	1	231	Correct Response!
n/a	n/a	NoMoneyStake	257.0	2	258.983	1.5	260.483	0.265	No money at stake!	260.833	1.685	0	0	You pressed too slow!
n/a	n/a	SmallLoss	262.499	2	264.482	1.5	265.982	0.265	You keep $0.20!	266.332	1.685	1	212	Correct Response!
n/a	n/a	LargeLoss	267.999	2	269.982	2.0	271.982	0.215	You lose $5!	272.281	1.735	0	0	You pressed too slow!
n/a	n/a	LargeLoss	273.998	2	275.981	1.5	277.481	0.215	You lose $5!	277.781	1.735	0	0	You pressed too slow!
n/a	n/a	SmallGain	279.497	2	281.48	1.5	282.98	0.215	You did not earn $0.20!	283.28	1.735	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	284.997	2	286.98	4.0	290.979	0.235	No money at stake!	291.296	1.715	0	0	You pressed too slow!
n/a	n/a	LargeGain	292.996	2	294.979	1.5	296.479	0.235	You did not earn $5!	296.795	1.715	0	0	You pressed too slow!
n/a	n/a	SmallGain	298.495	2	300.478	1.5	301.978	0.235	You did not earn $0.20!	302.295	1.715	0	0	You pressed too slow!
n/a	n/a	LargeGain	303.995	2	305.978	1.5	307.478	0.235	You did not earn $5!	307.794	1.715	0	0	You pressed too slow!
n/a	n/a	LargeLoss	309.494	2	311.477	1.5	312.977	0.305	You keep $5!	313.36	1.645	1	233	Correct Response!
