onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.038	2	2.005	1.5	3.504	0.327	You keep $0.20!	3.921	1.623	1	257	Correct Response!
n/a	n/a	LargeLoss	5.521	2	7.504	1.5	9.004	0.327	You keep $5!	9.42	1.623	1	219	Correct Response!
n/a	n/a	NoMoneyStake	11.02	2	13.003	3.5	16.503	0.327	No money at stake!	16.92	1.623	1	289	Correct Response!
n/a	n/a	NoMoneyStake	18.519	2	20.503	1.5	22.002	0.327	No money at stake!	22.419	1.623	1	268	Correct Response!
n/a	n/a	LargeGain	24.019	2	26.002	3.5	29.502	0.327	You earn $5!	29.918	1.623	1	258	Correct Response!
n/a	n/a	SmallGain	31.518	2	33.501	3.0	36.501	0.277	You earn $0.20!	36.867	1.673	1	275	Correct Response!
n/a	n/a	SmallLoss	38.517	2	40.5	1.5	42.0	0.277	You keep $0.20!	42.367	1.673	1	264	Correct Response!
n/a	n/a	SmallGain	44.017	2	46.0	1.5	47.5	0.277	You did not earn $0.20!	47.866	1.673	0	0	You pressed too slow!
n/a	n/a	LargeGain	49.516	2	51.499	3.0	54.499	0.247	You earn $5!	54.832	1.703	1	246	Correct Response!
n/a	n/a	LargeLoss	56.515	2	58.498	1.5	59.998	0.247	You keep $5!	60.332	1.703	1	243	Correct Response!
n/a	n/a	SmallGain	62.015	2	63.998	2.0	65.998	0.247	You earn $0.20!	66.331	1.703	1	231	Correct Response!
n/a	n/a	LargeGain	68.014	2	69.997	2.0	71.997	0.217	You did not earn $5!	72.297	1.733	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	74.013	2	75.997	2.5	78.496	0.217	No money at stake!	78.796	1.733	0	0	You pressed too slow!
n/a	n/a	LargeGain	80.513	2	82.496	1.5	83.996	0.217	You did not earn $5!	84.296	1.733	0	0	You pressed too slow!
n/a	n/a	LargeLoss	86.012	2	87.995	2.5	90.495	0.217	You lose $5!	90.795	1.733	0	0	You pressed too slow!
n/a	n/a	SmallGain	92.511	2	94.495	1.5	95.995	0.237	You did not earn $0.20!	96.311	1.713	0	0	You pressed too slow!
n/a	n/a	LargeGain	98.011	2	99.994	1.5	101.494	0.237	You did not earn $5!	101.811	1.713	0	0	You pressed too soon!
n/a	n/a	SmallLoss	103.51	2	105.493	3.5	108.993	0.237	You keep $0.20!	109.31	1.713	1	233	Correct Response!
n/a	n/a	LargeLoss	111.01	2	112.993	1.5	114.492	0.287	You keep $5!	114.859	1.663	1	233	Correct Response!
n/a	n/a	LargeLoss	116.509	2	118.492	3.5	121.992	0.287	You keep $5!	122.358	1.663	1	204	Correct Response!
n/a	n/a	SmallGain	124.008	2	125.991	2.5	128.491	0.287	You earn $0.20!	128.858	1.663	1	249	Correct Response!
