onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	LargeGain	0.062	2	2.012	1.5	3.511	0.299	You did not earn $5!	3.894	1.651	0	0	You pressed too slow!
n/a	n/a	LargeGain	5.528	2	7.511	4.0	11.51	0.299	You earn $5!	11.876	1.651	1	262	Correct Response!
n/a	n/a	SmallGain	13.543	2	15.509	2.5	18.009	0.299	You earn $0.20!	18.375	1.651	1	233	Correct Response!
n/a	n/a	SmallGain	20.025	2	22.008	4.0	26.007	0.279	You earn $0.20!	26.357	1.671	1	238	Correct Response!
n/a	n/a	LargeGain	28.024	2	30.007	2.0	32.006	0.279	You earn $5!	32.356	1.671	1	243	Correct Response!
n/a	n/a	NoMoneyStake	34.039	2	36.006	3.0	39.005	0.279	No money at stake!	39.355	1.671	1	208	Correct Response!
n/a	n/a	SmallLoss	41.055	2	43.004	1.5	44.504	0.279	You lose $0.20!	44.854	1.671	0	0	You pressed too slow!
n/a	n/a	LargeLoss	46.537	2	48.503	2.0	50.503	0.259	You keep $5!	50.836	1.691	1	228	Correct Response!
n/a	n/a	LargeGain	52.519	2	54.502	3.0	57.502	0.259	You earn $5!	57.835	1.691	1	207	Correct Response!
n/a	n/a	LargeLoss	59.518	2	61.501	2.0	63.501	0.259	You keep $5!	63.834	1.691	1	232	Correct Response!
n/a	n/a	NoMoneyStake	65.517	2	67.5	4.0	71.499	0.229	No money at stake!	71.799	1.721	0	0	You pressed too soon!
n/a	n/a	SmallLoss	73.516	2	75.499	3.5	78.998	0.229	You lose $0.20!	79.298	1.721	0	0	You pressed too slow!
n/a	n/a	SmallLoss	81.014	2	82.997	1.5	84.497	0.229	You lose $0.20!	84.797	1.721	0	0	You pressed too slow!
n/a	n/a	LargeLoss	86.513	2	88.496	1.5	89.996	0.229	You lose $5!	90.296	1.721	0	0	You pressed too slow!
n/a	n/a	SmallGain	92.013	2	93.996	2.0	95.995	0.249	You earn $0.20!	96.312	1.701	1	205	Correct Response!
n/a	n/a	SmallLoss	98.011	2	99.994	2.0	101.994	0.249	You keep $0.20!	102.311	1.701	1	236	Correct Response!
n/a	n/a	LargeLoss	104.01	2	105.993	1.5	107.493	0.249	You keep $5!	107.81	1.701	1	226	Correct Response!
n/a	n/a	LargeGain	109.509	2	111.492	3.5	114.992	0.269	You earn $5!	115.342	1.681	1	230	Correct Response!
n/a	n/a	NoMoneyStake	117.008	2	118.991	1.5	120.491	0.269	No money at stake!	120.841	1.681	1	259	Correct Response!
n/a	n/a	SmallLoss	122.507	2	124.49	2.0	126.49	0.269	You keep $0.20!	126.84	1.681	1	217	Correct Response!
n/a	n/a	NoMoneyStake	128.506	2	130.489	2.0	132.489	0.269	No money at stake!	132.839	1.681	1	230	Correct Response!
n/a	n/a	SmallGain	134.505	2	136.488	1.5	137.988	0.269	You earn $0.20!	138.338	1.681	1	227	Correct Response!
n/a	n/a	NoMoneyStake	140.004	2	141.987	1.5	143.487	0.219	No money at stake!	143.787	1.731	1	218	Correct Response!
n/a	n/a	SmallGain	145.503	2	147.486	3.0	150.486	0.219	You did not earn $0.20!	150.786	1.731	0	0	You pressed too slow!
n/a	n/a	LargeGain	152.502	2	154.485	1.5	155.985	0.219	You earn $5!	156.285	1.731	1	216	Correct Response!
n/a	n/a	NoMoneyStake	158.001	2	159.984	2.0	161.984	0.219	No money at stake!	162.284	1.731	0	0	You pressed too slow!
n/a	n/a	SmallGain	164.0	2	165.983	2.0	167.983	0.219	You earn $0.20!	168.283	1.731	1	203	Correct Response!
n/a	n/a	SmallLoss	169.999	2	171.982	1.5	173.482	0.189	You lose $0.20!	173.748	1.761	0	0	You pressed too slow!
n/a	n/a	SmallLoss	175.498	2	177.481	3.0	180.48	0.189	You lose $0.20!	180.747	1.761	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	182.497	2	184.48	1.5	185.98	0.189	No money at stake!	186.246	1.761	0	0	You pressed too slow!
n/a	n/a	SmallGain	187.996	2	189.979	1.5	191.479	0.189	You did not earn $0.20!	191.745	1.761	0	0	You pressed too slow!
n/a	n/a	SmallGain	193.495	2	195.478	3.5	198.977	0.229	You did not earn $0.20!	199.277	1.721	0	0	You pressed too soon!
n/a	n/a	LargeGain	200.994	2	202.977	1.5	204.476	0.229	You earn $5!	204.776	1.721	1	228	Correct Response!
n/a	n/a	LargeGain	206.493	2	208.476	2.5	210.975	0.229	You did not earn $5!	211.275	1.721	0	0	You pressed too soon!
n/a	n/a	SmallLoss	212.992	2	214.975	2.5	217.474	0.279	You keep $0.20!	217.824	1.671	1	223	Correct Response!
n/a	n/a	SmallLoss	219.49	2	221.473	4.0	225.473	0.279	You keep $0.20!	225.823	1.671	1	211	Correct Response!
n/a	n/a	SmallGain	227.489	2	229.472	1.5	230.972	0.279	You earn $0.20!	231.322	1.671	1	241	Correct Response!
n/a	n/a	SmallLoss	232.988	2	234.971	1.5	236.471	0.259	You keep $0.20!	236.804	1.691	1	240	Correct Response!
n/a	n/a	LargeLoss	238.487	2	240.47	1.5	241.97	0.259	You keep $5!	242.303	1.691	1	233	Correct Response!
n/a	n/a	NoMoneyStake	243.986	2	245.969	1.5	247.469	0.259	No money at stake!	247.802	1.691	1	213	Correct Response!
n/a	n/a	NoMoneyStake	249.485	2	251.468	2.5	253.968	0.259	No money at stake!	254.301	1.691	1	224	Correct Response!
n/a	n/a	LargeLoss	255.984	2	257.967	1.5	259.467	0.259	You keep $5!	259.8	1.691	1	244	Correct Response!
n/a	n/a	LargeLoss	261.483	2	263.466	4.0	267.465	0.209	You lose $5!	267.749	1.741	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	269.482	2	271.465	3.5	274.964	0.209	No money at stake!	275.247	1.741	0	0	You pressed too slow!
n/a	n/a	SmallGain	276.98	2	278.963	1.5	280.463	0.209	You did not earn $0.20!	280.746	1.741	0	0	You pressed too slow!
n/a	n/a	LargeGain	282.479	2	284.462	2.0	286.462	0.209	You did not earn $5!	286.745	1.741	0	0	You pressed too slow!
n/a	n/a	LargeGain	288.478	2	290.461	1.5	291.961	0.229	You did not earn $5!	292.261	1.721	0	0	You pressed too slow!
n/a	n/a	LargeLoss	293.977	2	295.96	3.0	298.96	0.229	You keep $5!	299.26	1.721	1	218	Correct Response!
n/a	n/a	LargeLoss	300.976	2	302.959	3.5	306.459	0.229	You keep $5!	306.759	1.721	1	228	Correct Response!
n/a	n/a	LargeLoss	308.475	2	310.458	2.5	312.958	0.269	You keep $5!	313.307	1.681	1	209	Correct Response!
