onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	NoMoneyStake	0.015	2	1.998	2.0	3.998	0.295	No money at stake!	4.381	1.655	1	263	Correct Response!
n/a	n/a	NoMoneyStake	6.014	2	7.997	1.5	9.497	0.295	No money at stake!	9.88	1.655	1	239	Correct Response!
n/a	n/a	LargeLoss	11.513	2	13.497	2.5	15.996	0.295	You keep $5!	16.38	1.655	1	243	Correct Response!
n/a	n/a	NoMoneyStake	18.013	2	19.996	1.5	21.496	0.295	No money at stake!	21.879	1.655	0	0	You pressed too slow!
n/a	n/a	LargeGain	23.512	2	25.495	1.5	26.995	0.295	You earn $5!	27.378	1.655	1	231	Correct Response!
n/a	n/a	SmallLoss	29.012	2	30.995	1.5	32.495	0.295	You keep $0.20!	32.878	1.655	1	243	Correct Response!
n/a	n/a	LargeLoss	34.511	2	36.494	4.0	40.494	0.245	You lose $5!	40.827	1.705	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	42.51	2	44.493	3.5	47.993	0.245	No money at stake!	48.326	1.705	0	0	You pressed too slow!
n/a	n/a	SmallGain	50.009	2	51.992	2.5	54.492	0.245	You earn $0.20!	54.825	1.705	1	237	Correct Response!
n/a	n/a	LargeLoss	56.509	2	58.492	2.0	60.491	0.245	You lose $5!	60.825	1.705	0	0	You pressed too slow!
n/a	n/a	SmallLoss	62.508	2	64.491	1.5	65.991	0.225	You lose $0.20!	66.291	1.725	0	0	You pressed too slow!
n/a	n/a	SmallGain	68.007	2	69.99	3.0	72.99	0.225	You did not earn $0.20!	73.307	1.725	0	0	You pressed too slow!
n/a	n/a	LargeLoss	75.007	2	76.99	1.5	78.49	0.225	You lose $5!	78.79	1.725	0	0	You pressed too slow!
n/a	n/a	SmallGain	80.506	2	82.489	1.5	83.989	0.275	You earn $0.20!	84.339	1.675	1	245	Correct Response!
n/a	n/a	SmallGain	86.005	2	87.989	2.0	89.988	0.275	You earn $0.20!	90.338	1.675	1	237	Correct Response!
n/a	n/a	LargeLoss	92.005	2	93.988	2.0	95.988	0.275	You keep $5!	96.338	1.675	1	242	Correct Response!
n/a	n/a	NoMoneyStake	98.004	2	99.987	2.5	102.487	0.295	No money at stake!	102.87	1.655	1	257	Correct Response!
n/a	n/a	LargeLoss	104.503	2	106.487	1.5	107.986	0.295	You keep $5!	108.37	1.655	1	231	Correct Response!
n/a	n/a	LargeGain	110.003	2	111.986	3.5	115.486	0.295	You earn $5!	115.869	1.655	1	257	Correct Response!
n/a	n/a	LargeGain	117.502	2	119.485	1.5	120.985	0.295	You earn $5!	121.368	1.655	1	230	Correct Response!
n/a	n/a	LargeLoss	123.001	2	124.985	3.0	127.984	0.245	You keep $5!	128.318	1.705	1	222	Correct Response!
n/a	n/a	SmallLoss	130.001	2	131.984	2.0	133.984	0.245	You keep $0.20!	134.317	1.705	1	234	Correct Response!
n/a	n/a	SmallGain	136.0	2	137.983	3.5	141.483	0.245	You earn $0.20!	141.816	1.705	1	220	Correct Response!
n/a	n/a	LargeGain	143.499	2	145.482	2.5	147.982	0.195	You did not earn $5!	148.265	1.755	0	0	You pressed too slow!
n/a	n/a	SmallGain	149.999	2	151.982	4.0	155.981	0.195	You did not earn $0.20!	156.265	1.755	0	0	You pressed too slow!
n/a	n/a	SmallLoss	157.998	2	159.981	4.0	163.98	0.195	You lose $0.20!	164.264	1.755	0	0	You pressed too slow!
n/a	n/a	LargeGain	165.997	2	167.98	2.0	169.98	0.215	You did not earn $5!	170.28	1.735	0	0	You pressed too slow!
n/a	n/a	LargeGain	171.996	2	173.979	3.0	176.979	0.215	You did not earn $5!	177.279	1.735	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	178.995	2	180.978	4.0	184.978	0.215	No money at stake!	185.278	1.735	0	0	You pressed too slow!
n/a	n/a	LargeLoss	186.995	2	188.978	1.5	190.477	0.215	You lose $5!	190.777	1.735	0	0	You pressed too slow!
n/a	n/a	SmallGain	192.494	2	194.477	1.5	195.977	0.285	You earn $0.20!	196.343	1.665	1	247	Correct Response!
n/a	n/a	LargeGain	197.993	2	199.976	1.5	201.476	0.285	You earn $5!	201.843	1.665	1	212	Correct Response!
n/a	n/a	LargeGain	203.493	2	205.476	4.0	209.475	0.285	You earn $5!	209.842	1.665	1	247	Correct Response!
n/a	n/a	SmallLoss	211.492	2	213.475	3.5	216.975	0.305	You keep $0.20!	217.358	1.645	1	234	Correct Response!
n/a	n/a	NoMoneyStake	218.991	2	220.974	1.5	222.474	0.305	No money at stake!	222.857	1.645	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	224.49	2	226.474	2.0	228.473	0.305	No money at stake!	228.857	1.645	1	217	Correct Response!
n/a	n/a	SmallLoss	230.49	2	232.473	2.0	234.473	0.305	You keep $0.20!	234.856	1.645	1	230	Correct Response!
n/a	n/a	LargeLoss	236.489	2	238.472	1.5	239.972	0.305	You keep $5!	240.355	1.645	1	229	Correct Response!
n/a	n/a	LargeLoss	241.989	2	243.972	3.5	247.471	0.255	You keep $5!	247.805	1.695	1	217	Correct Response!
n/a	n/a	SmallLoss	249.488	2	251.471	3.0	254.471	0.255	You lose $0.20!	254.804	1.695	0	0	You pressed too slow!
n/a	n/a	LargeGain	256.487	2	258.47	2.0	260.47	0.255	You earn $5!	260.803	1.695	1	247	Correct Response!
n/a	n/a	SmallLoss	262.486	2	264.469	1.5	265.969	0.225	You lose $0.20!	266.269	1.725	0	0	You pressed too slow!
n/a	n/a	SmallGain	267.986	2	269.969	1.5	271.469	0.225	You earn $0.20!	271.769	1.725	1	221	Correct Response!
n/a	n/a	SmallGain	273.485	2	275.468	1.5	276.968	0.225	You earn $0.20!	277.268	1.725	1	220	Correct Response!
n/a	n/a	LargeGain	278.985	2	280.968	1.5	282.468	0.205	You did not earn $5!	282.751	1.745	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	284.484	2	286.467	1.5	287.967	0.205	No money at stake!	288.25	1.745	0	0	You pressed too slow!
n/a	n/a	SmallLoss	289.983	2	291.967	1.5	293.466	0.205	You lose $0.20!	293.75	1.745	0	0	You pressed too slow!
n/a	n/a	SmallLoss	295.483	2	297.466	2.5	299.966	0.205	You lose $0.20!	300.249	1.745	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	301.982	2	303.965	3.0	306.965	0.245	No money at stake!	307.298	1.705	0	0	You pressed too slow!
n/a	n/a	SmallGain	308.981	2	310.964	2.0	312.964	0.245	You earn $0.20!	313.298	1.705	1	221	Correct Response!
