onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallGain	0.072	2	2.005	4.0	6.004	0.335	You did not earn $0.20!	6.421	1.615	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	8.038	2	10.004	1.5	11.504	0.335	No money at stake!	11.92	1.615	1	264	Correct Response!
n/a	n/a	SmallGain	13.52	2	15.503	3.0	18.503	0.335	You earn $0.20!	18.92	1.615	1	253	Correct Response!
n/a	n/a	SmallLoss	20.553	2	22.503	1.5	24.002	0.335	You keep $0.20!	24.419	1.615	1	261	Correct Response!
n/a	n/a	LargeLoss	26.036	2	28.002	1.5	29.502	0.315	You keep $5!	29.902	1.635	1	248	Correct Response!
n/a	n/a	NoMoneyStake	31.518	2	33.502	1.5	35.001	0.315	No money at stake!	35.401	1.635	1	247	Correct Response!
n/a	n/a	SmallLoss	37.018	2	39.001	1.5	40.501	0.315	You keep $0.20!	40.901	1.635	1	220	Correct Response!
n/a	n/a	NoMoneyStake	42.517	2	44.5	2.0	46.5	0.315	No money at stake!	46.9	1.635	1	226	Correct Response!
n/a	n/a	LargeGain	48.55	2	50.5	2.5	52.999	0.315	You earn $5!	53.399	1.635	1	264	Correct Response!
n/a	n/a	LargeLoss	55.016	2	56.999	2.5	59.499	0.285	You keep $5!	59.865	1.665	1	229	Correct Response!
n/a	n/a	SmallLoss	61.515	2	63.498	3.0	66.498	0.285	You keep $0.20!	66.865	1.665	1	250	Correct Response!
n/a	n/a	SmallGain	68.514	2	70.498	2.0	72.497	0.285	You earn $0.20!	72.864	1.665	1	248	Correct Response!
n/a	n/a	NoMoneyStake	74.514	2	76.497	4.0	80.496	0.235	No money at stake!	80.813	1.715	0	0	You pressed too slow!
n/a	n/a	LargeGain	82.513	2	84.496	2.0	86.496	0.235	You earn $5!	86.812	1.715	1	228	Correct Response!
n/a	n/a	LargeGain	88.512	2	90.495	3.0	93.495	0.235	You earn $5!	93.812	1.715	1	234	Correct Response!
n/a	n/a	SmallLoss	95.511	2	97.495	1.5	98.994	0.235	You lose $0.20!	99.311	1.715	0	0	You pressed too slow!
n/a	n/a	SmallGain	101.011	2	102.994	1.5	104.494	0.205	You did not earn $0.20!	104.777	1.745	0	0	You pressed too slow!
n/a	n/a	LargeGain	106.51	2	108.493	1.5	109.993	0.205	You did not earn $5!	110.277	1.745	0	0	You pressed too slow!
n/a	n/a	SmallLoss	112.01	2	113.993	2.0	115.993	0.205	You lose $0.20!	116.276	1.745	0	0	You pressed too slow!
n/a	n/a	SmallGain	118.009	2	119.992	1.5	121.492	0.245	You did not earn $0.20!	121.825	1.705	0	0	You pressed too slow!
n/a	n/a	LargeLoss	123.508	2	125.492	1.5	126.991	0.245	You keep $5!	127.325	1.705	1	237	Correct Response!
n/a	n/a	LargeGain	129.008	2	130.991	3.5	134.491	0.245	You did not earn $5!	134.824	1.705	0	0	You pressed too slow!
n/a	n/a	LargeLoss	136.507	2	138.49	3.5	141.99	0.295	You keep $5!	142.373	1.655	1	241	Correct Response!
n/a	n/a	LargeGain	144.006	2	145.989	1.5	147.489	0.295	You earn $5!	147.873	1.655	1	226	Correct Response!
n/a	n/a	NoMoneyStake	149.506	2	151.489	2.0	153.489	0.295	No money at stake!	153.872	1.655	1	231	Correct Response!
n/a	n/a	NoMoneyStake	155.505	2	157.488	2.5	159.988	0.295	No money at stake!	160.371	1.655	1	257	Correct Response!
n/a	n/a	SmallLoss	162.004	2	163.987	2.5	166.487	0.295	You keep $0.20!	166.87	1.655	1	257	Correct Response!
n/a	n/a	SmallGain	168.504	2	170.487	1.5	171.987	0.275	You earn $0.20!	172.337	1.675	1	251	Correct Response!
n/a	n/a	LargeLoss	174.003	2	175.986	3.0	178.986	0.275	You keep $5!	179.336	1.675	1	242	Correct Response!
n/a	n/a	LargeGain	181.002	2	182.985	2.0	184.985	0.275	You did not earn $5!	185.335	1.675	0	0	You pressed too slow!
n/a	n/a	SmallGain	187.002	2	188.985	1.5	190.485	0.245	You did not earn $0.20!	190.818	1.705	0	0	You pressed too slow!
n/a	n/a	LargeGain	192.501	2	194.484	4.0	198.484	0.245	You earn $5!	198.817	1.705	1	231	Correct Response!
