onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.024	2	2.007	3.5	5.506	0.28	You keep $0.20!	5.856	1.67	1	260	Correct Response!
n/a	n/a	NoMoneyStake	7.523	2	9.506	3.0	12.505	0.28	No money at stake!	12.855	1.67	1	264	Correct Response!
n/a	n/a	SmallLoss	14.522	2	16.505	2.0	18.504	0.28	You keep $0.20!	18.854	1.67	1	264	Correct Response!
n/a	n/a	SmallGain	20.521	2	22.504	1.5	24.003	0.28	You did not earn $0.20!	24.353	1.67	0	0	You pressed too slow!
n/a	n/a	LargeGain	26.02	2	28.003	1.5	29.502	0.26	You earn $5!	29.836	1.69	1	238	Correct Response!
n/a	n/a	SmallGain	31.519	2	33.502	1.5	35.001	0.26	You did not earn $0.20!	35.335	1.69	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	37.018	2	39.001	1.5	40.5	0.26	No money at stake!	40.834	1.69	1	253	Correct Response!
n/a	n/a	LargeLoss	42.517	2	44.5	2.5	46.999	0.26	You lose $5!	47.333	1.69	0	0	You pressed too slow!
n/a	n/a	SmallGain	49.016	2	50.999	3.5	54.498	0.28	You did not earn $0.20!	54.848	1.67	0	0	You pressed too slow!
n/a	n/a	SmallGain	56.514	2	58.497	2.0	60.497	0.28	You did not earn $0.20!	60.847	1.67	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	62.513	2	64.496	4.0	68.496	0.28	No money at stake!	68.845	1.67	1	235	Correct Response!
n/a	n/a	SmallLoss	70.512	2	72.495	1.5	73.995	0.28	You keep $0.20!	74.345	1.67	1	250	Correct Response!
n/a	n/a	LargeGain	76.011	2	77.994	2.5	80.493	0.32	You earn $5!	80.893	1.63	1	247	Correct Response!
n/a	n/a	SmallGain	82.51	2	84.493	3.0	87.492	0.32	You earn $0.20!	87.892	1.63	1	243	Correct Response!
n/a	n/a	SmallLoss	89.509	2	91.492	1.5	92.991	0.32	You keep $0.20!	93.391	1.63	1	267	Correct Response!
n/a	n/a	NoMoneyStake	95.008	2	96.991	2.5	99.49	0.3	No money at stake!	99.873	1.65	0	0	You pressed too soon!
n/a	n/a	NoMoneyStake	101.506	2	103.489	1.5	104.989	0.3	No money at stake!	105.372	1.65	1	274	Correct Response!
n/a	n/a	SmallLoss	107.006	2	108.989	4.0	112.988	0.3	You keep $0.20!	113.371	1.65	1	268	Correct Response!
n/a	n/a	LargeLoss	115.004	2	116.987	3.5	120.487	0.3	You keep $5!	120.853	1.65	1	236	Correct Response!
n/a	n/a	LargeGain	122.503	2	124.486	4.0	128.485	0.3	You earn $5!	128.852	1.65	1	226	Correct Response!
n/a	n/a	LargeLoss	130.501	2	132.484	1.5	133.984	0.25	You lose $5!	134.301	1.7	0	0	You pressed too slow!
n/a	n/a	SmallLoss	136.0	2	137.983	2.0	139.983	0.25	You keep $0.20!	140.316	1.7	1	241	Correct Response!
n/a	n/a	LargeLoss	141.999	2	143.982	1.5	145.482	0.25	You lose $5!	145.815	1.7	0	0	You pressed too slow!
n/a	n/a	SmallGain	147.498	2	149.481	2.5	151.981	0.23	You did not earn $0.20!	152.281	1.72	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	153.997	2	155.98	2.0	157.98	0.23	No money at stake!	158.28	1.72	0	0	You pressed too slow!
n/a	n/a	LargeLoss	159.996	2	161.979	2.0	163.979	0.23	You lose $5!	164.279	1.72	0	0	You pressed too slow!
n/a	n/a	LargeGain	165.995	2	167.978	1.5	169.478	0.23	You did not earn $5!	169.778	1.72	0	0	You pressed too slow!
n/a	n/a	LargeLoss	171.494	2	173.477	4.0	177.477	0.28	You keep $5!	177.827	1.67	1	254	Correct Response!
n/a	n/a	LargeGain	179.493	2	181.476	3.5	184.975	0.28	You earn $5!	185.325	1.67	1	247	Correct Response!
n/a	n/a	LargeGain	186.992	2	188.975	1.5	190.474	0.28	You did not earn $5!	190.824	1.67	0	0	You pressed too slow!
n/a	n/a	SmallLoss	192.491	2	194.474	1.5	195.973	0.32	You lose $0.20!	196.373	1.63	0	0	You pressed too slow!
n/a	n/a	SmallGain	197.99	2	199.973	1.5	201.472	0.32	You earn $0.20!	201.872	1.63	1	222	Correct Response!
n/a	n/a	NoMoneyStake	203.489	2	205.472	2.0	207.471	0.32	No money at stake!	207.871	1.63	1	245	Correct Response!
n/a	n/a	LargeLoss	209.488	2	211.471	1.5	212.97	0.32	You keep $5!	213.37	1.63	1	258	Correct Response!
n/a	n/a	NoMoneyStake	214.987	2	216.97	1.5	218.47	0.3	No money at stake!	218.853	1.65	1	241	Correct Response!
n/a	n/a	LargeGain	220.486	2	222.469	3.0	225.468	0.3	You earn $5!	225.835	1.65	1	257	Correct Response!
n/a	n/a	LargeLoss	227.485	2	229.468	3.0	232.467	0.3	You keep $5!	232.834	1.65	1	263	Correct Response!
n/a	n/a	SmallGain	234.483	2	236.466	4.0	240.466	0.3	You earn $0.20!	240.849	1.65	1	258	Correct Response!
n/a	n/a	NoMoneyStake	242.482	2	244.465	1.5	245.965	0.27	No money at stake!	246.315	1.68	0	0	You pressed too slow!
n/a	n/a	SmallGain	247.981	2	249.964	2.0	251.964	0.27	You did not earn $0.20!	252.314	1.68	0	0	You pressed too slow!
n/a	n/a	SmallLoss	253.98	2	255.963	1.5	257.463	0.27	You keep $0.20!	257.813	1.68	1	267	Correct Response!
n/a	n/a	NoMoneyStake	259.479	2	261.462	3.5	264.961	0.27	No money at stake!	265.311	1.68	1	231	Correct Response!
n/a	n/a	SmallLoss	266.978	2	268.961	2.5	271.46	0.27	You keep $0.20!	271.81	1.68	1	251	Correct Response!
n/a	n/a	LargeGain	273.477	2	275.46	2.0	277.459	0.24	You earn $5!	277.776	1.71	1	227	Correct Response!
n/a	n/a	LargeLoss	279.476	2	281.459	2.0	283.458	0.24	You lose $5!	283.775	1.71	0	0	You pressed too slow!
n/a	n/a	SmallGain	285.475	2	287.458	1.5	288.957	0.24	You did not earn $0.20!	289.274	1.71	0	0	You pressed too slow!
n/a	n/a	SmallLoss	290.974	2	292.957	3.0	295.956	0.26	You lose $0.20!	296.289	1.69	0	0	You pressed too slow!
n/a	n/a	LargeLoss	297.972	2	299.955	1.5	301.455	0.26	You lose $5!	301.788	1.69	0	0	You pressed too slow!
n/a	n/a	LargeGain	303.471	2	305.454	2.0	307.454	0.26	You earn $5!	307.787	1.69	1	232	Correct Response!
n/a	n/a	LargeGain	309.47	2	311.453	1.5	312.953	0.3	You earn $5!	313.32	1.65	1	268	Correct Response!
