onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	LargeLoss	0.049	2	1.999	2.5	4.499	0.326	You keep $5!	4.899	1.624	1	288	Correct Response!
n/a	n/a	LargeGain	6.549	2	8.499	1.5	9.999	0.326	You earn $5!	10.399	1.624	1	312	Correct Response!
n/a	n/a	LargeLoss	12.015	2	13.998	1.5	15.498	0.326	You keep $5!	15.898	1.624	1	250	Correct Response!
n/a	n/a	SmallGain	17.548	2	19.498	2.0	21.498	0.276	You did not earn $0.20!	21.848	1.674	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	23.531	2	25.497	2.0	27.497	0.276	No money at stake!	27.847	1.674	0	0	You pressed too slow!
n/a	n/a	SmallGain	29.514	2	31.497	1.5	32.997	0.276	You earn $0.20!	33.347	1.674	1	236	Correct Response!
n/a	n/a	NoMoneyStake	35.013	2	36.996	1.5	38.496	0.276	No money at stake!	38.846	1.674	1	237	Correct Response!
n/a	n/a	LargeLoss	40.513	2	42.496	1.5	43.996	0.276	You keep $5!	44.346	1.674	1	252	Correct Response!
n/a	n/a	LargeGain	46.012	2	47.995	2.0	49.995	0.246	You earn $5!	50.312	1.704	1	233	Correct Response!
n/a	n/a	SmallLoss	52.028	2	53.995	4.0	57.995	0.246	You lose $0.20!	58.328	1.704	0	0	You pressed too slow!
n/a	n/a	LargeLoss	60.011	2	61.994	1.5	63.494	0.246	You lose $5!	63.827	1.704	0	0	You pressed too slow!
n/a	n/a	SmallGain	65.511	2	67.494	1.5	68.994	0.266	You earn $0.20!	69.344	1.684	1	255	Correct Response!
n/a	n/a	LargeGain	71.01	2	72.993	4.0	76.993	0.266	You did not earn $5!	77.343	1.684	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	79.01	2	80.993	1.5	82.493	0.266	No money at stake!	82.842	1.684	0	0	You pressed too soon!
n/a	n/a	LargeLoss	84.509	2	86.492	2.0	88.492	0.266	You keep $5!	88.842	1.684	1	252	Correct Response!
n/a	n/a	NoMoneyStake	90.509	2	92.492	3.0	95.491	0.286	No money at stake!	95.858	1.664	1	259	Correct Response!
n/a	n/a	SmallLoss	97.508	2	99.491	1.5	100.991	0.286	You keep $0.20!	101.358	1.664	1	252	Correct Response!
n/a	n/a	NoMoneyStake	103.008	2	104.991	3.5	108.49	0.286	No money at stake!	108.857	1.664	0	0	You pressed too slow!
n/a	n/a	LargeLoss	110.507	2	112.49	3.0	115.49	0.286	You keep $5!	115.856	1.664	1	259	Correct Response!
n/a	n/a	LargeGain	117.506	2	119.489	1.5	120.989	0.286	You earn $5!	121.356	1.664	1	259	Correct Response!
n/a	n/a	LargeLoss	123.006	2	124.989	1.5	126.489	0.256	You lose $5!	126.822	1.694	0	0	You pressed too slow!
n/a	n/a	LargeGain	128.505	2	130.488	1.5	131.988	0.256	You earn $5!	132.322	1.694	1	247	Correct Response!
n/a	n/a	LargeGain	134.005	2	135.988	1.5	137.488	0.256	You did not earn $5!	137.821	1.694	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	139.504	2	141.488	1.5	142.988	0.236	No money at stake!	143.304	1.714	1	20	Correct Response!
n/a	n/a	SmallGain	145.004	2	146.987	3.5	150.487	0.236	You did not earn $0.20!	150.803	1.714	0	0	You pressed too slow!
n/a	n/a	SmallLoss	152.503	2	154.487	2.0	156.486	0.236	You lose $0.20!	156.803	1.714	0	0	You pressed too slow!
n/a	n/a	SmallGain	158.503	2	160.486	2.5	162.986	0.236	You earn $0.20!	163.302	1.714	1	216	Correct Response!
n/a	n/a	SmallLoss	165.002	2	166.985	2.5	169.485	0.276	You keep $0.20!	169.835	1.674	1	245	Correct Response!
n/a	n/a	NoMoneyStake	171.502	2	173.485	4.0	177.485	0.276	No money at stake!	177.835	1.674	0	0	You pressed too slow!
n/a	n/a	LargeLoss	179.501	2	181.484	3.5	184.984	0.276	You keep $5!	185.334	1.674	1	236	Correct Response!
n/a	n/a	NoMoneyStake	187.0	2	188.984	1.5	190.484	0.276	No money at stake!	190.834	1.674	0	0	You pressed too slow!
n/a	n/a	LargeGain	192.5	2	194.483	3.0	197.483	0.276	You did not earn $5!	197.833	1.674	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	199.499	2	201.483	2.5	203.982	0.296	No money at stake!	204.349	1.654	1	270	Correct Response!
n/a	n/a	NoMoneyStake	205.999	2	207.982	2.0	209.982	0.296	No money at stake!	210.365	1.654	1	256	Correct Response!
n/a	n/a	SmallGain	211.998	2	213.982	1.5	215.481	0.296	You did not earn $0.20!	215.865	1.654	0	0	You pressed too slow!
n/a	n/a	LargeLoss	217.498	2	219.481	2.0	221.481	0.296	You keep $5!	221.848	1.654	1	242	Correct Response!
n/a	n/a	SmallGain	223.497	2	225.481	3.0	228.48	0.296	You earn $0.20!	228.847	1.654	1	256	Correct Response!
n/a	n/a	LargeGain	230.497	2	232.48	3.5	235.98	0.276	You earn $5!	236.33	1.674	1	265	Correct Response!
n/a	n/a	SmallLoss	237.996	2	239.979	2.0	241.979	0.276	You keep $0.20!	242.329	1.674	1	270	Correct Response!
n/a	n/a	SmallGain	243.996	2	245.979	4.0	249.979	0.276	You earn $0.20!	250.329	1.674	1	266	Correct Response!
n/a	n/a	SmallLoss	251.995	2	253.978	1.5	255.478	0.246	You lose $0.20!	255.811	1.704	0	0	You pressed too slow!
n/a	n/a	SmallGain	257.495	2	259.478	2.0	261.478	0.246	You did not earn $0.20!	261.811	1.704	0	0	You pressed too slow!
n/a	n/a	SmallGain	263.494	2	265.477	1.5	266.977	0.246	You earn $0.20!	267.294	1.704	1	239	Correct Response!
n/a	n/a	SmallLoss	268.994	2	270.977	1.5	272.477	0.226	You lose $0.20!	272.777	1.724	0	0	You pressed too slow!
n/a	n/a	SmallLoss	274.493	2	276.476	1.5	277.976	0.226	You keep $0.20!	278.276	1.724	1	212	Correct Response!
n/a	n/a	LargeGain	279.993	2	281.976	2.0	283.976	0.226	You did not earn $5!	284.276	1.724	0	0	You pressed too slow!
n/a	n/a	LargeLoss	285.992	2	287.975	4.0	291.975	0.266	You lose $5!	292.325	1.684	0	0	You pressed too soon!
n/a	n/a	SmallLoss	293.992	2	295.975	3.0	298.974	0.266	You lose $0.20!	299.324	1.684	0	0	You pressed too slow!
n/a	n/a	LargeGain	300.991	2	302.974	2.5	305.474	0.266	You earn $5!	305.824	1.684	1	236	Correct Response!
n/a	n/a	SmallLoss	307.49	2	309.474	3.5	312.973	0.306	You keep $0.20!	313.357	1.644	1	297	Correct Response!
