onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallGain	0.064	2	1.997	4.0	5.996	0.283	You did not earn $0.20!	6.363	1.667	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	8.046	2	9.995	1.5	11.495	0.283	No money at stake!	11.862	1.667	1	251	Correct Response!
n/a	n/a	SmallGain	13.512	2	15.495	3.0	18.494	0.283	You earn $0.20!	18.844	1.667	1	263	Correct Response!
n/a	n/a	SmallLoss	20.544	2	22.493	1.5	23.993	0.283	You keep $0.20!	24.36	1.667	1	256	Correct Response!
n/a	n/a	LargeLoss	26.026	2	27.992	1.5	29.492	0.263	You keep $5!	29.825	1.687	1	246	Correct Response!
n/a	n/a	NoMoneyStake	31.508	2	33.491	1.5	34.991	0.263	No money at stake!	35.324	1.687	1	248	Correct Response!
n/a	n/a	SmallLoss	37.007	2	38.99	1.5	40.49	0.263	You lose $0.20!	40.823	1.687	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	42.506	2	44.489	2.0	46.489	0.263	No money at stake!	46.822	1.687	0	0	You pressed too slow!
n/a	n/a	LargeGain	48.539	2	50.488	2.5	52.988	0.263	You did not earn $5!	53.321	1.687	0	0	You pressed too soon!
n/a	n/a	LargeLoss	55.004	2	56.987	2.5	59.487	0.283	You lose $5!	59.853	1.667	0	0	You pressed too slow!
n/a	n/a	SmallLoss	61.503	2	63.486	3.0	66.486	0.283	You keep $0.20!	66.852	1.667	1	229	Correct Response!
n/a	n/a	SmallGain	68.502	2	70.485	2.0	72.485	0.283	You earn $0.20!	72.835	1.667	1	246	Correct Response!
n/a	n/a	NoMoneyStake	74.501	2	76.484	4.0	80.483	0.303	No money at stake!	80.866	1.647	1	267	Correct Response!
n/a	n/a	LargeGain	82.5	2	84.483	2.0	86.482	0.303	You earn $5!	86.865	1.647	1	287	Correct Response!
n/a	n/a	LargeGain	88.498	2	90.481	3.0	93.481	0.303	You earn $5!	93.864	1.647	1	265	Correct Response!
n/a	n/a	SmallLoss	95.497	2	97.48	1.5	98.98	0.303	You keep $0.20!	99.363	1.647	1	236	Correct Response!
n/a	n/a	SmallGain	100.996	2	102.979	1.5	104.479	0.273	You did not earn $0.20!	104.829	1.677	0	0	You pressed too slow!
n/a	n/a	LargeGain	106.495	2	108.478	1.5	109.978	0.273	You earn $5!	110.328	1.677	1	229	Correct Response!
n/a	n/a	SmallLoss	111.994	2	113.977	2.0	115.977	0.273	You keep $0.20!	116.327	1.677	1	252	Correct Response!
n/a	n/a	SmallGain	117.993	2	119.976	1.5	121.476	0.243	You earn $0.20!	121.793	1.707	1	235	Correct Response!
n/a	n/a	LargeLoss	123.492	2	125.475	1.5	126.975	0.243	You lose $5!	127.292	1.707	0	0	You pressed too slow!
n/a	n/a	LargeGain	128.991	2	130.974	3.5	134.474	0.243	You earn $5!	134.79	1.707	1	239	Correct Response!
n/a	n/a	LargeLoss	136.49	2	138.473	3.5	141.972	0.223	You lose $5!	142.272	1.727	0	0	You pressed too slow!
n/a	n/a	LargeGain	143.989	2	145.972	1.5	147.472	0.223	You earn $5!	147.771	1.727	1	215	Correct Response!
n/a	n/a	NoMoneyStake	149.488	2	151.471	2.0	153.471	0.223	No money at stake!	153.77	1.727	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	155.487	2	157.47	2.5	159.969	0.223	No money at stake!	160.269	1.727	0	0	You pressed too slow!
n/a	n/a	SmallLoss	161.986	2	163.969	2.5	166.468	0.223	You lose $0.20!	166.768	1.727	0	0	You pressed too slow!
n/a	n/a	SmallGain	168.485	2	170.468	1.5	171.967	0.243	You did not earn $0.20!	172.284	1.707	0	0	You pressed too slow!
n/a	n/a	LargeLoss	173.984	2	175.967	3.0	178.966	0.243	You keep $5!	179.283	1.707	1	229	Correct Response!
n/a	n/a	LargeGain	180.982	2	182.965	2.0	184.965	0.243	You did not earn $5!	185.282	1.707	0	0	You pressed too slow!
n/a	n/a	SmallGain	186.981	2	188.964	1.5	190.464	0.283	You earn $0.20!	190.814	1.667	1	247	Correct Response!
n/a	n/a	LargeGain	192.48	2	194.463	4.0	198.463	0.283	You earn $5!	198.813	1.667	1	232	Correct Response!
n/a	n/a	LargeLoss	200.479	2	202.462	1.5	203.962	0.283	You lose $5!	204.328	1.667	0	0	You pressed too slow!
n/a	n/a	LargeLoss	205.978	2	207.961	4.0	211.96	0.303	You keep $5!	212.344	1.647	1	246	Correct Response!
n/a	n/a	SmallLoss	213.977	2	215.96	1.5	217.459	0.303	You lose $0.20!	217.843	1.647	0	0	You pressed too slow!
n/a	n/a	LargeLoss	219.476	2	221.459	2.0	223.458	0.303	You keep $5!	223.842	1.647	1	259	Correct Response!
n/a	n/a	NoMoneyStake	225.475	2	227.458	3.0	230.457	0.283	No money at stake!	230.824	1.667	1	251	Correct Response!
n/a	n/a	NoMoneyStake	232.473	2	234.456	1.5	235.956	0.283	No money at stake!	236.323	1.667	1	251	Correct Response!
n/a	n/a	SmallGain	237.972	2	239.956	2.5	242.455	0.283	You earn $0.20!	242.805	1.667	1	58	Correct Response!
n/a	n/a	NoMoneyStake	244.471	2	246.454	1.5	247.954	0.283	No money at stake!	248.321	1.667	1	278	Correct Response!
n/a	n/a	NoMoneyStake	249.97	2	251.953	3.5	255.453	0.283	No money at stake!	255.819	1.667	1	243	Correct Response!
n/a	n/a	LargeLoss	257.469	2	259.452	1.5	260.952	0.283	You lose $5!	261.318	1.667	0	0	You pressed too slow!
n/a	n/a	SmallLoss	262.968	2	264.951	3.5	268.451	0.283	You keep $0.20!	268.817	1.667	1	248	Correct Response!
n/a	n/a	LargeGain	270.467	2	272.45	1.5	273.95	0.263	You did not earn $5!	274.283	1.687	0	0	You pressed too slow!
n/a	n/a	SmallGain	275.966	2	277.949	2.0	279.949	0.263	You earn $0.20!	280.282	1.687	1	255	Correct Response!
n/a	n/a	LargeLoss	281.965	2	283.948	2.0	285.947	0.263	You keep $5!	286.281	1.687	1	254	Correct Response!
n/a	n/a	SmallGain	287.964	2	289.947	3.5	293.446	0.243	You earn $0.20!	293.763	1.707	1	241	Correct Response!
n/a	n/a	SmallLoss	295.462	2	297.445	2.0	299.445	0.243	You keep $0.20!	299.762	1.707	1	211	Correct Response!
n/a	n/a	LargeGain	301.461	2	303.444	1.5	304.944	0.243	You did not earn $5!	305.261	1.707	0	0	You pressed too soon!
n/a	n/a	SmallLoss	306.96	2	308.943	4.0	312.943	0.223	You lose $0.20!	313.243	1.727	0	0	You pressed too slow!
