onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	LargeLoss	0.062	2	2.012	1.5	3.511	0.284	You lose $5!	3.878	1.666	0	0	You pressed too slow!
n/a	n/a	LargeLoss	5.528	2	7.511	2.5	10.011	0.284	You keep $5!	10.377	1.666	1	198	Correct Response!
n/a	n/a	NoMoneyStake	12.061	2	14.01	2.0	16.01	0.284	No money at stake!	16.377	1.666	0	0	You pressed too soon!
n/a	n/a	SmallLoss	18.077	2	20.01	2.5	22.509	0.284	You keep $0.20!	22.876	1.666	1	234	Correct Response!
n/a	n/a	LargeGain	24.559	2	26.509	2.0	28.509	0.264	You earn $5!	28.859	1.686	1	227	Correct Response!
n/a	n/a	NoMoneyStake	30.525	2	32.508	1.5	34.008	0.264	No money at stake!	34.358	1.686	1	255	Correct Response!
n/a	n/a	SmallLoss	36.025	2	38.008	1.5	39.507	0.264	You keep $0.20!	39.857	1.686	1	234	Correct Response!
n/a	n/a	NoMoneyStake	41.524	2	43.507	2.5	46.007	0.264	No money at stake!	46.357	1.686	0	0	You pressed too soon!
n/a	n/a	NoMoneyStake	48.023	2	50.006	3.0	53.006	0.264	No money at stake!	53.356	1.686	1	255	Correct Response!
n/a	n/a	SmallGain	55.056	2	57.006	3.5	60.505	0.264	You earn $0.20!	60.855	1.686	1	251	Correct Response!
n/a	n/a	SmallGain	62.522	2	64.505	2.5	67.004	0.234	You earn $0.20!	67.321	1.716	1	229	Correct Response!
n/a	n/a	LargeGain	69.021	2	71.004	1.5	72.504	0.234	You did not earn $5!	72.82	1.716	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	74.52	2	76.503	1.5	78.003	0.234	No money at stake!	78.32	1.716	0	0	You pressed too slow!
n/a	n/a	SmallGain	80.02	2	82.003	1.5	83.503	0.234	You earn $0.20!	83.819	1.716	1	226	Correct Response!
n/a	n/a	SmallGain	85.519	2	87.502	4.0	91.502	0.204	You did not earn $0.20!	91.785	1.746	0	0	You pressed too slow!
n/a	n/a	LargeGain	93.518	2	95.501	1.5	97.001	0.204	You did not earn $5!	97.284	1.746	0	0	You pressed too slow!
n/a	n/a	LargeGain	99.018	2	101.001	3.0	104.0	0.204	You did not earn $5!	104.284	1.746	0	0	You pressed too soon!
n/a	n/a	SmallGain	106.017	2	108.0	1.5	109.5	0.244	You did not earn $0.20!	109.833	1.706	0	0	You pressed too slow!
n/a	n/a	LargeLoss	111.516	2	113.499	1.5	114.999	0.244	You lose $5!	115.332	1.706	0	0	You pressed too slow!
n/a	n/a	SmallGain	117.016	2	118.999	2.0	120.998	0.244	You earn $0.20!	121.332	1.706	1	240	Correct Response!
n/a	n/a	SmallLoss	123.015	2	124.998	3.0	127.998	0.294	You keep $0.20!	128.381	1.656	1	260	Correct Response!
