onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	LargeLoss	0.057	2	2.007	1.5	3.507	0.373	You keep $5!	3.957	1.577	1	286	Correct Response!
n/a	n/a	SmallGain	5.54	2	7.506	3.5	11.005	0.373	You earn $0.20!	11.455	1.577	1	284	Correct Response!
n/a	n/a	LargeLoss	13.022	2	15.005	3.0	18.004	0.373	You keep $5!	18.454	1.577	1	244	Correct Response!
n/a	n/a	NoMoneyStake	20.054	2	22.003	1.5	23.503	0.323	No money at stake!	23.903	1.627	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	25.519	2	27.502	3.5	31.002	0.323	No money at stake!	31.402	1.627	1	292	Correct Response!
n/a	n/a	LargeLoss	33.018	2	35.001	1.5	36.501	0.323	You keep $5!	36.901	1.627	1	298	Correct Response!
n/a	n/a	NoMoneyStake	38.517	2	40.5	1.5	42.0	0.323	No money at stake!	42.4	1.627	0	0	You pressed too slow!
n/a	n/a	LargeLoss	44.016	2	45.999	4.0	49.998	0.323	You keep $5!	50.398	1.627	1	233	Correct Response!
n/a	n/a	LargeLoss	52.015	2	53.998	3.5	57.497	0.323	You keep $5!	57.897	1.627	1	257	Correct Response!
n/a	n/a	LargeGain	59.53	2	61.496	3.0	64.496	0.273	You earn $5!	64.846	1.677	1	228	Correct Response!
n/a	n/a	LargeGain	66.512	2	68.495	1.5	69.995	0.273	You did not earn $5!	70.345	1.677	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	72.011	2	73.994	2.0	75.994	0.273	No money at stake!	76.344	1.677	1	227	Correct Response!
n/a	n/a	SmallLoss	78.027	2	79.993	1.5	81.493	0.273	You lose $0.20!	81.843	1.677	0	0	You pressed too slow!
n/a	n/a	SmallLoss	83.509	2	85.492	1.5	86.992	0.253	You keep $0.20!	87.325	1.697	1	227	Correct Response!
n/a	n/a	LargeLoss	89.008	2	90.991	2.5	93.491	0.253	You keep $5!	93.824	1.697	1	229	Correct Response!
n/a	n/a	LargeLoss	95.507	2	97.49	2.0	99.49	0.253	You lose $5!	99.823	1.697	0	0	You pressed too slow!
n/a	n/a	SmallGain	101.506	2	103.489	1.5	104.989	0.273	You did not earn $0.20!	105.339	1.677	0	0	You pressed too slow!
n/a	n/a	LargeGain	107.005	2	108.988	3.5	112.487	0.273	You earn $5!	112.837	1.677	1	252	Correct Response!
n/a	n/a	SmallLoss	114.504	2	116.487	3.0	119.486	0.273	You keep $0.20!	119.836	1.677	1	255	Correct Response!
n/a	n/a	SmallLoss	121.502	2	123.485	2.0	125.485	0.253	You keep $0.20!	125.818	1.697	1	246	Correct Response!
n/a	n/a	LargeLoss	127.501	2	129.484	1.5	130.984	0.253	You lose $5!	131.317	1.697	0	0	You pressed too slow!
n/a	n/a	LargeGain	133.0	2	134.983	2.0	136.983	0.253	You earn $5!	137.316	1.697	1	233	Correct Response!
n/a	n/a	SmallLoss	138.999	2	140.982	3.5	144.482	0.233	You lose $0.20!	144.798	1.717	0	0	You pressed too slow!
n/a	n/a	SmallGain	146.498	2	148.481	2.0	150.481	0.233	You did not earn $0.20!	150.797	1.717	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	152.497	2	154.48	2.5	156.98	0.233	No money at stake!	157.296	1.717	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	158.996	2	160.979	4.0	164.978	0.233	No money at stake!	165.295	1.717	0	0	You pressed too slow!
n/a	n/a	SmallGain	166.994	2	168.977	3.0	171.977	0.233	You did not earn $0.20!	172.293	1.717	0	0	You pressed too slow!
n/a	n/a	LargeGain	173.993	2	175.976	2.0	177.976	0.273	You earn $5!	178.326	1.677	1	239	Correct Response!
n/a	n/a	LargeGain	179.992	2	181.975	1.5	183.475	0.273	You earn $5!	183.825	1.677	1	251	Correct Response!
n/a	n/a	NoMoneyStake	185.491	2	187.474	1.5	188.974	0.273	No money at stake!	189.324	1.677	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	190.99	2	192.973	2.0	194.973	0.273	No money at stake!	195.323	1.677	0	0	You pressed too slow!
n/a	n/a	SmallLoss	196.989	2	198.972	2.0	200.972	0.273	You keep $0.20!	201.322	1.677	1	228	Correct Response!
n/a	n/a	NoMoneyStake	202.988	2	204.971	1.5	206.471	0.293	No money at stake!	206.837	1.657	0	0	You pressed too slow!
n/a	n/a	LargeGain	208.487	2	210.47	1.5	211.97	0.293	You did not earn $5!	212.336	1.657	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	213.986	2	215.969	3.0	218.969	0.293	No money at stake!	219.335	1.657	0	0	You pressed too soon!
n/a	n/a	SmallGain	220.985	2	222.968	2.0	224.968	0.293	You did not earn $0.20!	225.334	1.657	0	0	You pressed too slow!
n/a	n/a	SmallLoss	226.984	2	228.967	1.5	230.467	0.293	You lose $0.20!	230.833	1.657	0	0	You pressed too slow!
n/a	n/a	SmallGain	232.483	2	234.466	1.5	235.966	0.313	You earn $0.20!	236.349	1.637	1	245	Correct Response!
n/a	n/a	LargeGain	237.982	2	239.965	4.0	243.964	0.313	You earn $5!	244.347	1.637	1	246	Correct Response!
n/a	n/a	LargeGain	245.981	2	247.963	2.5	250.463	0.313	You did not earn $5!	250.846	1.637	0	0	You pressed too slow!
n/a	n/a	SmallGain	252.479	2	254.462	4.0	258.462	0.353	You earn $0.20!	258.895	1.597	1	237	Correct Response!
n/a	n/a	SmallGain	260.478	2	262.461	1.5	263.961	0.353	You did not earn $0.20!	264.394	1.597	0	0	You pressed too slow!
n/a	n/a	LargeLoss	265.977	2	267.96	1.5	269.46	0.353	You lose $5!	269.893	1.597	0	0	You pressed too slow!
n/a	n/a	SmallLoss	271.476	2	273.459	2.5	275.959	0.373	You keep $0.20!	276.408	1.577	1	252	Correct Response!
n/a	n/a	SmallGain	277.975	2	279.958	1.5	281.458	0.373	You earn $0.20!	281.907	1.577	1	256	Correct Response!
n/a	n/a	LargeGain	283.474	2	285.457	1.5	286.957	0.373	You earn $5!	287.407	1.577	1	315	Correct Response!
n/a	n/a	SmallLoss	288.973	2	290.956	4.0	294.955	0.353	You keep $0.20!	295.388	1.597	1	253	Correct Response!
n/a	n/a	LargeLoss	296.971	2	298.954	2.0	300.954	0.353	You keep $5!	301.387	1.597	1	263	Correct Response!
