onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.02	2	2.003	1.5	3.503	0.28	You lose $0.20!	3.869	1.67	0	0	You pressed too slow!
n/a	n/a	LargeLoss	5.519	2	7.502	1.5	9.002	0.28	You keep $5!	9.369	1.67	1	277	Correct Response!
n/a	n/a	NoMoneyStake	11.018	2	13.002	3.5	16.501	0.28	No money at stake!	16.868	1.67	1	269	Correct Response!
n/a	n/a	NoMoneyStake	18.518	2	20.501	1.5	22.001	0.28	No money at stake!	22.367	1.67	0	0	You pressed too slow!
n/a	n/a	LargeGain	24.017	2	26.0	3.5	29.5	0.28	You earn $5!	29.866	1.67	1	262	Correct Response!
n/a	n/a	SmallGain	31.516	2	33.499	3.0	36.499	0.26	You earn $0.20!	36.832	1.69	1	257	Correct Response!
n/a	n/a	SmallLoss	38.515	2	40.499	1.5	41.998	0.26	You lose $0.20!	42.348	1.69	0	0	You pressed too slow!
n/a	n/a	SmallGain	44.015	2	45.998	1.5	47.498	0.26	You did not earn $0.20!	47.848	1.69	0	0	You pressed too slow!
n/a	n/a	LargeGain	49.514	2	51.497	3.0	54.497	0.28	You earn $5!	54.864	1.67	1	261	Correct Response!
n/a	n/a	LargeLoss	56.514	2	58.497	1.5	59.996	0.28	You lose $5!	60.363	1.67	0	0	You pressed too slow!
n/a	n/a	SmallGain	62.013	2	63.996	2.0	65.996	0.28	You earn $0.20!	66.362	1.67	1	246	Correct Response!
n/a	n/a	LargeGain	68.012	2	69.995	2.0	71.995	0.3	You earn $5!	72.378	1.65	1	263	Correct Response!
n/a	n/a	NoMoneyStake	74.012	2	75.995	2.5	78.494	0.3	No money at stake!	78.878	1.65	0	0	You pressed too soon!
n/a	n/a	LargeGain	80.511	2	82.494	1.5	83.994	0.3	You earn $5!	84.377	1.65	1	263	Correct Response!
n/a	n/a	LargeLoss	86.01	2	87.994	2.5	90.493	0.3	You keep $5!	90.877	1.65	1	237	Correct Response!
n/a	n/a	SmallGain	92.51	2	94.493	1.5	95.993	0.27	You did not earn $0.20!	96.343	1.68	0	0	You pressed too slow!
n/a	n/a	LargeGain	98.009	2	99.992	1.5	101.492	0.27	You did not earn $5!	101.842	1.68	0	0	You pressed too slow!
n/a	n/a	SmallLoss	103.508	2	105.492	3.5	108.991	0.27	You lose $0.20!	109.341	1.68	0	0	You pressed too slow!
n/a	n/a	LargeLoss	111.008	2	112.991	1.5	114.491	0.29	You lose $5!	114.857	1.66	0	0	You pressed too slow!
n/a	n/a	LargeLoss	116.507	2	118.49	3.5	121.99	0.29	You lose $5!	122.356	1.66	0	0	You pressed too slow!
n/a	n/a	SmallGain	124.006	2	125.989	2.5	128.489	0.29	You did not earn $0.20!	128.856	1.66	0	0	You pressed too slow!
n/a	n/a	LargeLoss	130.506	2	132.489	2.0	134.488	0.36	You keep $5!	134.922	1.59	1	261	Correct Response!
n/a	n/a	NoMoneyStake	136.505	2	138.488	2.0	140.488	0.36	No money at stake!	140.938	1.59	0	0	You pressed too slow!
n/a	n/a	LargeLoss	142.504	2	144.487	4.0	148.487	0.36	You keep $5!	148.92	1.59	1	248	Correct Response!
n/a	n/a	LargeLoss	150.503	2	152.487	2.0	154.486	0.36	You keep $5!	154.92	1.59	1	271	Correct Response!
n/a	n/a	SmallLoss	156.503	2	158.486	1.5	159.986	0.38	You keep $0.20!	160.452	1.57	1	281	Correct Response!
n/a	n/a	LargeLoss	162.002	2	163.985	3.0	166.985	0.38	You keep $5!	167.452	1.57	1	239	Correct Response!
n/a	n/a	LargeGain	169.001	2	170.985	2.0	172.984	0.38	You earn $5!	173.451	1.57	1	321	Correct Response!
n/a	n/a	NoMoneyStake	175.001	2	176.984	1.5	178.484	0.33	No money at stake!	178.9	1.62	1	246	Correct Response!
n/a	n/a	NoMoneyStake	180.5	2	182.483	2.0	184.483	0.33	No money at stake!	184.9	1.62	1	270	Correct Response!
n/a	n/a	SmallGain	186.499	2	188.483	4.0	192.482	0.33	You earn $0.20!	192.899	1.62	1	247	Correct Response!
n/a	n/a	NoMoneyStake	194.499	2	196.482	4.0	200.481	0.33	No money at stake!	200.898	1.62	1	252	Correct Response!
n/a	n/a	SmallGain	202.498	2	204.481	3.5	207.981	0.33	You earn $0.20!	208.397	1.62	1	259	Correct Response!
n/a	n/a	NoMoneyStake	209.997	2	211.98	1.5	213.48	0.33	No money at stake!	213.897	1.62	1	313	Correct Response!
n/a	n/a	SmallGain	215.496	2	217.479	1.5	218.979	0.33	You earn $0.20!	219.396	1.62	1	293	Correct Response!
n/a	n/a	SmallLoss	220.996	2	222.979	4.0	226.978	0.28	You keep $0.20!	227.345	1.67	1	272	Correct Response!
n/a	n/a	NoMoneyStake	228.995	2	230.978	1.5	232.478	0.28	No money at stake!	232.845	1.67	1	267	Correct Response!
n/a	n/a	SmallLoss	234.494	2	236.477	2.0	238.477	0.28	You lose $0.20!	238.844	1.67	0	0	You pressed too slow!
n/a	n/a	LargeGain	240.494	2	242.477	2.5	244.977	0.28	You earn $5!	245.343	1.67	1	252	Correct Response!
n/a	n/a	LargeGain	246.993	2	248.976	1.5	250.476	0.25	You did not earn $5!	250.809	1.7	0	0	You pressed too slow!
n/a	n/a	LargeLoss	252.492	2	254.476	1.5	255.975	0.25	You lose $5!	256.309	1.7	0	0	You pressed too slow!
n/a	n/a	SmallLoss	257.992	2	259.975	2.0	261.975	0.25	You keep $0.20!	262.308	1.7	1	236	Correct Response!
n/a	n/a	LargeGain	263.991	2	265.974	1.5	267.474	0.27	You earn $5!	267.824	1.68	1	262	Correct Response!
n/a	n/a	SmallLoss	269.491	2	271.474	1.5	272.974	0.27	You keep $0.20!	273.323	1.68	1	232	Correct Response!
