onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallGain	0.021	2	2.004	4.0	6.004	0.345	You did not earn $0.20!	6.42	1.605	0	0	You pressed too slow!
n/a	n/a	SmallLoss	8.02	2	10.003	3.5	13.502	0.345	You keep $0.20!	13.919	1.605	1	289	Correct Response!
n/a	n/a	NoMoneyStake	15.519	2	17.502	2.5	20.001	0.345	No money at stake!	20.418	1.605	0	0	You pressed too slow!
n/a	n/a	SmallGain	22.018	2	24.001	2.0	26.0	0.345	You earn $0.20!	26.417	1.605	1	262	Correct Response!
n/a	n/a	SmallLoss	28.017	2	30.0	4.0	33.999	0.325	You lose $0.20!	34.399	1.625	0	0	You pressed too slow!
n/a	n/a	LargeLoss	36.015	2	37.998	2.0	39.998	0.325	You keep $5!	40.398	1.625	1	321	Correct Response!
n/a	n/a	SmallLoss	42.014	2	43.997	1.5	45.497	0.325	You keep $0.20!	45.897	1.625	1	309	Correct Response!
n/a	n/a	SmallGain	47.513	2	49.496	1.5	50.996	0.305	You did not earn $0.20!	51.379	1.645	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	53.012	2	54.995	2.0	56.995	0.305	No money at stake!	57.378	1.645	0	0	You pressed too slow!
n/a	n/a	SmallGain	59.011	2	60.994	1.5	62.494	0.305	You earn $0.20!	62.877	1.645	1	303	Correct Response!
n/a	n/a	NoMoneyStake	64.51	2	66.493	1.5	67.993	0.305	No money at stake!	68.376	1.645	1	289	Correct Response!
n/a	n/a	SmallGain	70.009	2	71.992	3.5	75.492	0.305	You earn $0.20!	75.875	1.645	1	242	Correct Response!
n/a	n/a	LargeLoss	77.508	2	79.491	3.0	82.49	0.285	You keep $5!	82.857	1.665	1	276	Correct Response!
n/a	n/a	LargeGain	84.507	2	86.49	1.5	87.989	0.285	You did not earn $5!	88.356	1.665	0	0	You pressed too slow!
n/a	n/a	SmallLoss	90.006	2	91.989	2.0	93.988	0.285	You keep $0.20!	94.355	1.665	1	282	Correct Response!
n/a	n/a	NoMoneyStake	96.005	2	97.988	3.0	100.987	0.265	No money at stake!	101.32	1.685	0	0	You pressed too slow!
n/a	n/a	LargeGain	103.004	2	104.987	4.0	108.986	0.265	You did not earn $5!	109.319	1.685	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	111.002	2	112.985	4.0	116.984	0.265	No money at stake!	117.318	1.685	0	0	You pressed too slow!
n/a	n/a	SmallGain	119.001	2	120.984	2.0	122.983	0.265	You did not earn $0.20!	123.317	1.685	0	0	You pressed too slow!
n/a	n/a	LargeLoss	125.0	2	126.983	1.5	128.482	0.265	You lose $5!	128.816	1.685	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	130.499	2	132.482	2.0	134.481	0.305	No money at stake!	134.865	1.645	1	246	Correct Response!
n/a	n/a	LargeGain	136.498	2	138.481	2.0	140.48	0.305	You did not earn $5!	140.864	1.645	0	0	You pressed too slow!
n/a	n/a	LargeLoss	142.497	2	144.48	2.0	146.479	0.305	You keep $5!	146.863	1.645	1	265	Correct Response!
n/a	n/a	SmallGain	148.496	2	150.479	1.5	151.978	0.305	You earn $0.20!	152.362	1.645	1	288	Correct Response!
