onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	NoMoneyStake	0.032	2	1.998	2.0	3.998	0.37	No money at stake!	4.448	1.58	1	318	Correct Response!
n/a	n/a	NoMoneyStake	6.014	2	7.997	1.5	9.497	0.37	No money at stake!	9.947	1.58	1	334	Correct Response!
n/a	n/a	LargeLoss	11.514	2	13.497	2.5	15.996	0.37	You keep $5!	16.446	1.58	1	252	Correct Response!
n/a	n/a	NoMoneyStake	18.013	2	19.996	1.5	21.496	0.37	No money at stake!	21.946	1.58	1	271	Correct Response!
n/a	n/a	LargeGain	23.512	2	25.495	1.5	26.995	0.37	You earn $5!	27.445	1.58	1	296	Correct Response!
n/a	n/a	SmallLoss	29.012	2	30.995	1.5	32.495	0.37	You keep $0.20!	32.945	1.58	1	332	Correct Response!
n/a	n/a	LargeLoss	34.511	2	36.494	4.0	40.494	0.32	You lose $5!	40.894	1.63	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	42.51	2	44.493	3.5	47.993	0.32	No money at stake!	48.393	1.63	0	0	You pressed too slow!
n/a	n/a	SmallGain	50.009	2	51.992	2.5	54.492	0.32	You earn $0.20!	54.892	1.63	1	302	Correct Response!
n/a	n/a	LargeLoss	56.509	2	58.492	2.0	60.492	0.32	You keep $5!	60.891	1.63	1	282	Correct Response!
n/a	n/a	SmallLoss	62.508	2	64.491	1.5	65.991	0.29	You keep $0.20!	66.358	1.66	1	268	Correct Response!
n/a	n/a	SmallGain	68.007	2	69.99	3.0	72.99	0.29	You did not earn $0.20!	73.357	1.66	0	0	You pressed too slow!
n/a	n/a	LargeLoss	75.007	2	76.99	1.5	78.49	0.29	You lose $5!	78.856	1.66	0	0	You pressed too slow!
n/a	n/a	SmallGain	80.506	2	82.489	1.5	83.989	0.31	You did not earn $0.20!	84.389	1.64	0	0	You pressed too soon!
n/a	n/a	SmallGain	86.005	2	87.988	2.0	89.988	0.31	You did not earn $0.20!	90.388	1.64	0	0	You pressed too slow!
n/a	n/a	LargeLoss	92.005	2	93.988	2.0	95.988	0.31	You keep $5!	96.388	1.64	1	302	Correct Response!
n/a	n/a	NoMoneyStake	98.004	2	99.987	2.5	102.487	0.35	No money at stake!	102.92	1.6	0	0	You pressed too slow!
n/a	n/a	LargeLoss	104.503	2	106.486	1.5	107.986	0.35	You lose $5!	108.42	1.6	0	0	You pressed too slow!
n/a	n/a	LargeGain	110.003	2	111.986	3.5	115.485	0.35	You earn $5!	115.919	1.6	1	313	Correct Response!
n/a	n/a	LargeGain	117.502	2	119.485	1.5	120.985	0.35	You did not earn $5!	121.418	1.6	0	0	You pressed too slow!
n/a	n/a	LargeLoss	123.001	2	124.984	3.0	127.984	0.39	You keep $5!	128.451	1.56	1	294	Correct Response!
n/a	n/a	SmallLoss	130.001	2	131.984	2.0	133.983	0.39	You keep $0.20!	134.45	1.56	1	335	Correct Response!
n/a	n/a	SmallGain	136.0	2	137.983	3.5	141.483	0.39	You earn $0.20!	141.949	1.56	1	329	Correct Response!
n/a	n/a	LargeGain	143.499	2	145.482	2.5	147.982	0.37	You earn $5!	148.432	1.58	1	306	Correct Response!
n/a	n/a	SmallGain	149.998	2	151.981	4.0	155.981	0.37	You earn $0.20!	156.431	1.58	1	342	Correct Response!
