onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallGain	0.046	2	1.996	4.0	6.012	0.316	You earn $0.20!	6.412	1.634	1	248	Correct Response!
n/a	n/a	SmallLoss	8.045	2	10.011	3.5	13.511	0.316	You keep $0.20!	13.91	1.634	1	230	Correct Response!
n/a	n/a	NoMoneyStake	15.543	2	17.51	2.5	20.009	0.316	No money at stake!	20.409	1.634	1	258	Correct Response!
n/a	n/a	SmallGain	22.026	2	24.009	2.0	26.008	0.316	You earn $0.20!	26.392	1.634	1	249	Correct Response!
n/a	n/a	SmallLoss	28.025	2	30.008	4.0	34.007	0.266	You lose $0.20!	34.357	1.684	0	0	You pressed too slow!
n/a	n/a	LargeLoss	36.04	2	38.006	2.0	40.006	0.266	You keep $5!	40.339	1.684	1	241	Correct Response!
n/a	n/a	SmallLoss	42.022	2	44.005	1.5	45.505	0.266	You lose $0.20!	45.855	1.684	0	0	You pressed too slow!
n/a	n/a	SmallGain	47.521	2	49.504	1.5	51.004	0.246	You did not earn $0.20!	51.321	1.704	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	53.02	2	55.003	2.0	57.003	0.246	No money at stake!	57.32	1.704	0	0	You pressed too slow!
n/a	n/a	SmallGain	59.019	2	61.002	1.5	62.502	0.246	You earn $0.20!	62.819	1.704	1	175	Correct Response!
n/a	n/a	NoMoneyStake	64.518	2	66.501	1.5	68.001	0.246	No money at stake!	68.318	1.704	0	0	You pressed too slow!
n/a	n/a	SmallGain	70.017	2	72.0	3.5	75.5	0.246	You did not earn $0.20!	75.816	1.704	0	0	You pressed too soon!
n/a	n/a	LargeLoss	77.516	2	79.499	3.0	82.499	0.286	You keep $5!	82.865	1.664	1	244	Correct Response!
n/a	n/a	LargeGain	84.548	2	86.498	1.5	87.998	0.286	You earn $5!	88.364	1.664	1	279	Correct Response!
n/a	n/a	SmallLoss	90.014	2	91.997	2.0	93.997	0.286	You keep $0.20!	94.363	1.664	1	251	Correct Response!
n/a	n/a	NoMoneyStake	96.013	2	97.996	3.0	100.995	0.266	No money at stake!	101.345	1.684	0	0	You pressed too soon!
n/a	n/a	LargeGain	103.012	2	104.995	4.0	108.994	0.266	You earn $5!	109.327	1.684	1	236	Correct Response!
n/a	n/a	NoMoneyStake	111.01	2	112.993	4.0	116.993	0.266	No money at stake!	117.342	1.684	0	0	You pressed too slow!
n/a	n/a	SmallGain	119.009	2	120.992	2.0	122.991	0.266	You did not earn $0.20!	123.341	1.684	0	0	You pressed too slow!
n/a	n/a	LargeLoss	125.008	2	126.991	1.5	128.49	0.266	You keep $5!	128.824	1.684	1	257	Correct Response!
n/a	n/a	NoMoneyStake	130.507	2	132.49	2.0	134.489	0.236	No money at stake!	134.806	1.714	0	0	You pressed too soon!
n/a	n/a	LargeGain	136.506	2	138.489	2.0	140.488	0.236	You did not earn $5!	140.805	1.714	0	0	You pressed too slow!
n/a	n/a	LargeLoss	142.505	2	144.488	2.0	146.487	0.236	You keep $5!	146.804	1.714	1	217	Correct Response!
n/a	n/a	SmallGain	148.504	2	150.487	1.5	151.986	0.236	You did not earn $0.20!	152.303	1.714	0	0	You pressed too slow!
n/a	n/a	LargeLoss	154.003	2	155.986	1.5	157.485	0.256	You keep $5!	157.819	1.694	1	249	Correct Response!
n/a	n/a	LargeGain	159.502	2	161.485	1.5	162.985	0.256	You earn $5!	163.318	1.694	1	252	Correct Response!
n/a	n/a	NoMoneyStake	165.001	2	166.984	1.5	168.484	0.256	No money at stake!	168.817	1.694	1	28	Correct Response!
n/a	n/a	SmallGain	170.5	2	172.483	2.5	174.982	0.256	You earn $0.20!	175.316	1.694	1	221	Correct Response!
n/a	n/a	SmallLoss	176.999	2	178.982	1.5	180.481	0.236	You lose $0.20!	180.798	1.714	0	0	You pressed too slow!
n/a	n/a	LargeGain	182.498	2	184.481	2.5	186.98	0.236	You did not earn $5!	187.297	1.714	0	0	You pressed too soon!
n/a	n/a	LargeLoss	188.997	2	190.98	1.5	192.479	0.236	You keep $5!	192.796	1.714	1	234	Correct Response!
n/a	n/a	LargeLoss	194.496	2	196.479	1.5	197.978	0.216	You lose $5!	198.262	1.734	0	0	You pressed too slow!
n/a	n/a	SmallLoss	199.995	2	201.978	2.5	204.477	0.216	You lose $0.20!	204.777	1.734	0	0	You pressed too slow!
n/a	n/a	SmallGain	206.494	2	208.477	1.5	209.976	0.216	You did not earn $0.20!	210.276	1.734	0	0	You pressed too slow!
n/a	n/a	LargeGain	211.993	2	213.976	1.5	215.475	0.266	You earn $5!	215.809	1.684	1	229	Correct Response!
n/a	n/a	SmallLoss	217.492	2	219.475	1.5	220.974	0.266	You lose $0.20!	221.308	1.684	0	0	You pressed too slow!
n/a	n/a	SmallLoss	222.991	2	224.974	3.0	227.973	0.266	You keep $0.20!	228.306	1.684	1	256	Correct Response!
n/a	n/a	SmallGain	229.99	2	231.972	3.0	234.972	0.306	You earn $0.20!	235.355	1.644	1	227	Correct Response!
n/a	n/a	SmallLoss	236.988	2	238.971	1.5	240.471	0.306	You lose $0.20!	240.854	1.644	0	0	You pressed too slow!
n/a	n/a	LargeGain	242.487	2	244.47	2.0	246.47	0.306	You earn $5!	246.853	1.644	1	239	Correct Response!
n/a	n/a	LargeLoss	248.486	2	250.469	2.5	252.969	0.286	You keep $5!	253.335	1.664	1	281	Correct Response!
n/a	n/a	NoMoneyStake	254.985	2	256.968	3.5	260.468	0.286	No money at stake!	260.834	1.664	0	0	You pressed too slow!
n/a	n/a	SmallLoss	262.484	2	264.467	2.0	266.467	0.286	You lose $0.20!	266.833	1.664	0	0	You pressed too soon!
n/a	n/a	LargeLoss	268.483	2	270.466	4.0	274.465	0.286	You keep $5!	274.832	1.664	1	220	Correct Response!
n/a	n/a	NoMoneyStake	276.481	2	278.464	1.5	279.964	0.266	No money at stake!	280.314	1.684	0	0	You pressed too slow!
n/a	n/a	LargeGain	281.98	2	283.963	3.5	287.463	0.266	You earn $5!	287.796	1.684	1	250	Correct Response!
n/a	n/a	NoMoneyStake	289.479	2	291.462	1.5	292.962	0.266	No money at stake!	293.312	1.684	0	0	You pressed too slow!
n/a	n/a	LargeGain	294.978	2	296.961	3.0	299.961	0.266	You earn $5!	300.294	1.684	1	249	Correct Response!
n/a	n/a	LargeLoss	301.977	2	303.96	3.5	307.459	0.266	You keep $5!	307.793	1.684	1	237	Correct Response!
n/a	n/a	LargeGain	309.476	2	311.459	1.5	312.958	0.236	You did not earn $5!	313.275	1.714	0	0	You pressed too slow!
