onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.016	2	1.999	1.5	3.499	0.236	You lose $0.20!	3.816	1.714	0	0	You pressed too slow!
n/a	n/a	LargeLoss	5.516	2	7.499	3.5	10.998	0.236	You lose $5!	11.315	1.714	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	13.014	2	14.997	2.5	17.497	0.236	No money at stake!	17.813	1.714	0	0	You pressed too slow!
n/a	n/a	LargeLoss	19.513	2	21.496	3.0	24.496	0.236	You keep $5!	24.812	1.714	1	210	Correct Response!
n/a	n/a	SmallGain	26.512	2	28.495	4.0	32.494	0.276	You earn $0.20!	32.844	1.674	1	250	Correct Response!
n/a	n/a	LargeGain	34.51	2	36.493	1.5	37.993	0.276	You did not earn $5!	38.343	1.674	0	0	You pressed too slow!
n/a	n/a	SmallLoss	40.01	2	41.993	4.0	45.992	0.276	You lose $0.20!	46.342	1.674	0	0	You pressed too soon!
n/a	n/a	SmallGain	48.008	2	49.991	2.0	51.991	0.316	You earn $0.20!	52.374	1.634	1	214	Correct Response!
n/a	n/a	SmallLoss	54.007	2	55.99	1.5	57.49	0.316	You keep $0.20!	57.873	1.634	1	272	Correct Response!
n/a	n/a	SmallLoss	59.506	2	61.489	3.0	64.489	0.316	You lose $0.20!	64.889	1.634	0	0	You pressed too soon!
n/a	n/a	LargeGain	66.505	2	68.488	4.0	72.487	0.336	You earn $5!	72.904	1.614	1	242	Correct Response!
n/a	n/a	LargeGain	74.504	2	76.487	2.5	78.986	0.336	You earn $5!	79.403	1.614	1	292	Correct Response!
n/a	n/a	NoMoneyStake	81.002	2	82.985	1.5	84.485	0.336	No money at stake!	84.902	1.614	0	0	You pressed too slow!
n/a	n/a	LargeGain	86.501	2	88.484	1.5	89.984	0.336	You earn $5!	90.401	1.614	1	251	Correct Response!
n/a	n/a	SmallGain	92.0	2	93.983	1.5	95.483	0.306	You earn $0.20!	95.866	1.644	1	268	Correct Response!
n/a	n/a	LargeLoss	97.5	2	99.483	1.5	100.982	0.306	You keep $5!	101.366	1.644	1	261	Correct Response!
n/a	n/a	SmallGain	102.999	2	104.982	2.5	107.481	0.306	You earn $0.20!	107.864	1.644	1	261	Correct Response!
n/a	n/a	SmallGain	109.497	2	111.48	3.0	114.48	0.256	You did not earn $0.20!	114.813	1.694	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	116.496	2	118.479	2.0	120.479	0.256	No money at stake!	120.812	1.694	1	211	Correct Response!
n/a	n/a	SmallGain	122.495	2	124.478	3.5	127.978	0.256	You earn $0.20!	128.311	1.694	1	235	Correct Response!
n/a	n/a	LargeLoss	129.994	2	131.977	2.0	133.977	0.256	You lose $5!	134.31	1.694	0	0	You pressed too slow!
n/a	n/a	LargeGain	135.993	2	137.976	3.0	140.975	0.236	You earn $5!	141.292	1.714	1	234	Correct Response!
n/a	n/a	LargeGain	142.992	2	144.975	2.0	146.974	0.236	You earn $5!	147.291	1.714	1	204	Correct Response!
n/a	n/a	NoMoneyStake	148.991	2	150.974	3.0	153.973	0.236	No money at stake!	154.29	1.714	0	0	You pressed too soon!
n/a	n/a	LargeLoss	155.989	2	157.972	2.5	160.472	0.236	You lose $5!	160.789	1.714	0	0	You pressed too slow!
n/a	n/a	SmallGain	162.488	2	164.471	1.5	165.971	0.256	You did not earn $0.20!	166.304	1.694	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	167.987	2	169.97	4.0	173.97	0.256	No money at stake!	174.303	1.694	0	0	You pressed too soon!
n/a	n/a	SmallLoss	175.986	2	177.969	2.0	179.969	0.256	You lose $0.20!	180.302	1.694	0	0	You pressed too slow!
