onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallGain	0.016	2	1.999	1.5	3.499	0.28	You did not earn $0.20!	3.866	1.67	0	0	You pressed too slow!
n/a	n/a	LargeGain	5.516	2	7.499	1.5	8.998	0.28	You did not earn $5!	9.365	1.67	0	0	You pressed too slow!
n/a	n/a	LargeGain	11.015	2	12.998	1.5	14.498	0.28	You did not earn $5!	14.865	1.67	0	0	You pressed too slow!
n/a	n/a	SmallGain	16.514	2	18.497	4.0	22.497	0.35	You earn $0.20!	22.93	1.6	1	299	Correct Response!
n/a	n/a	LargeLoss	24.513	2	26.497	1.5	27.996	0.35	You keep $5!	28.43	1.6	1	345	Correct Response!
n/a	n/a	LargeLoss	30.013	2	31.996	1.5	33.496	0.35	You keep $5!	33.929	1.6	1	278	Correct Response!
n/a	n/a	LargeGain	35.512	2	37.495	1.5	38.995	0.37	You earn $5!	39.445	1.58	1	279	Correct Response!
n/a	n/a	SmallLoss	41.012	2	42.995	3.5	46.494	0.37	You keep $0.20!	46.944	1.58	1	313	Correct Response!
n/a	n/a	LargeGain	48.511	2	50.494	4.0	54.493	0.37	You earn $5!	54.943	1.58	1	315	Correct Response!
n/a	n/a	LargeLoss	56.51	2	58.493	2.5	60.993	0.32	You keep $5!	61.393	1.63	1	315	Correct Response!
n/a	n/a	SmallLoss	63.009	2	64.992	1.5	66.492	0.32	You keep $0.20!	66.892	1.63	1	268	Correct Response!
n/a	n/a	SmallLoss	68.509	2	70.492	1.5	71.991	0.32	You keep $0.20!	72.391	1.63	1	285	Correct Response!
n/a	n/a	LargeLoss	74.008	2	75.991	1.5	77.491	0.27	You lose $5!	77.841	1.68	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	79.507	2	81.49	1.5	82.99	0.27	No money at stake!	83.34	1.68	0	0	You pressed too slow!
n/a	n/a	SmallLoss	85.007	2	86.99	1.5	88.49	0.27	You lose $0.20!	88.84	1.68	0	0	You pressed too slow!
