onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.088	2	2.004	2.0	4.004	0.293	You keep $0.20!	4.371	1.657	1	225	Correct Response!
n/a	n/a	LargeGain	6.054	2	8.004	4.0	12.003	0.293	You earn $5!	12.37	1.657	1	260	Correct Response!
n/a	n/a	SmallLoss	14.02	2	16.003	3.0	19.003	0.293	You keep $0.20!	19.37	1.657	1	259	Correct Response!
n/a	n/a	SmallGain	21.036	2	23.003	2.0	25.002	0.243	You did not earn $0.20!	25.319	1.707	0	0	You pressed too slow!
n/a	n/a	LargeLoss	27.035	2	29.002	2.0	31.002	0.243	You keep $5!	31.318	1.707	1	232	Correct Response!
n/a	n/a	NoMoneyStake	33.018	2	35.001	2.5	37.501	0.243	No money at stake!	37.818	1.707	0	0	You pressed too slow!
n/a	n/a	SmallGain	39.518	2	41.501	2.5	44.001	0.243	You earn $0.20!	44.317	1.707	1	216	Correct Response!
n/a	n/a	SmallGain	46.017	2	48.0	1.5	49.5	0.213	You earn $0.20!	49.784	1.737	1	186	Correct Response!
n/a	n/a	LargeGain	51.517	2	53.5	1.5	55.0	0.213	You did not earn $5!	55.3	1.737	0	0	You pressed too slow!
n/a	n/a	SmallLoss	57.016	2	58.999	2.0	60.999	0.213	You keep $0.20!	61.299	1.737	1	178	Correct Response!
n/a	n/a	LargeGain	63.016	2	64.999	2.5	67.499	0.193	You earn $5!	67.765	1.757	1	176	Correct Response!
n/a	n/a	LargeLoss	69.515	2	71.498	3.5	74.998	0.193	You lose $5!	75.265	1.757	0	0	You pressed too slow!
n/a	n/a	SmallLoss	77.015	2	78.998	3.5	82.497	0.193	You lose $0.20!	82.764	1.757	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	84.514	2	86.497	1.5	87.997	0.213	No money at stake!	88.297	1.737	0	0	You pressed too slow!
n/a	n/a	LargeLoss	90.013	2	91.997	4.0	95.996	0.213	You lose $5!	96.279	1.737	0	0	You pressed too soon!
n/a	n/a	NoMoneyStake	98.013	2	99.996	4.0	103.996	0.213	No money at stake!	104.296	1.737	0	0	You pressed too slow!
n/a	n/a	LargeLoss	106.012	2	107.995	3.0	110.995	0.213	You lose $5!	111.295	1.737	0	0	You pressed too slow!
n/a	n/a	SmallLoss	113.011	2	114.995	1.5	116.494	0.213	You lose $0.20!	116.794	1.737	0	0	You pressed too slow!
n/a	n/a	LargeGain	118.511	2	120.494	2.0	122.494	0.263	You earn $5!	122.827	1.687	1	212	Correct Response!
n/a	n/a	SmallLoss	124.511	2	126.494	4.0	130.493	0.263	You keep $0.20!	130.843	1.687	1	233	Correct Response!
n/a	n/a	SmallGain	132.51	2	134.493	1.5	135.993	0.263	You earn $0.20!	136.343	1.687	1	256	Correct Response!
n/a	n/a	LargeLoss	138.009	2	139.992	1.5	141.492	0.283	You keep $5!	141.859	1.667	1	225	Correct Response!
n/a	n/a	LargeGain	143.509	2	145.492	3.5	148.992	0.283	You earn $5!	149.358	1.667	1	213	Correct Response!
n/a	n/a	SmallGain	151.008	2	152.991	4.0	156.991	0.283	You earn $0.20!	157.358	1.667	1	226	Correct Response!
n/a	n/a	NoMoneyStake	159.007	2	160.991	2.0	162.99	0.233	No money at stake!	163.307	1.717	0	0	You pressed too slow!
n/a	n/a	LargeLoss	165.007	2	166.99	2.0	168.99	0.233	You keep $5!	169.307	1.717	1	226	Correct Response!
n/a	n/a	SmallGain	171.006	2	172.99	2.0	174.989	0.233	You earn $0.20!	175.306	1.717	1	229	Correct Response!
n/a	n/a	NoMoneyStake	177.006	2	178.989	3.0	181.989	0.233	No money at stake!	182.305	1.717	0	0	You pressed too slow!
n/a	n/a	SmallGain	184.005	2	185.988	3.5	189.488	0.233	You earn $0.20!	189.805	1.717	1	216	Correct Response!
n/a	n/a	NoMoneyStake	191.505	2	193.488	1.5	194.988	0.183	No money at stake!	195.254	1.767	0	0	You pressed too slow!
n/a	n/a	SmallGain	197.004	2	198.987	1.5	200.487	0.183	You did not earn $0.20!	200.754	1.767	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	202.504	2	204.487	2.0	206.487	0.183	No money at stake!	206.753	1.767	0	0	You pressed too slow!
