onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.011	2	2.011	1.5	3.51	0.263	You keep $0.20!	3.844	1.687	1	255	Correct Response!
n/a	n/a	LargeLoss	5.527	2	7.51	3.5	11.009	0.263	You keep $5!	11.342	1.687	1	249	Correct Response!
n/a	n/a	NoMoneyStake	13.025	2	15.008	2.5	17.508	0.263	No money at stake!	17.841	1.687	0	0	You pressed too slow!
n/a	n/a	LargeLoss	19.524	2	21.507	3.0	24.507	0.263	You lose $5!	24.84	1.687	0	0	You pressed too slow!
n/a	n/a	SmallGain	26.523	2	28.506	4.0	32.505	0.243	You earn $0.20!	32.822	1.707	1	235	Correct Response!
n/a	n/a	LargeGain	34.521	2	36.504	1.5	38.004	0.243	You did not earn $5!	38.321	1.707	0	0	You pressed too slow!
n/a	n/a	SmallLoss	40.021	2	42.004	4.0	46.003	0.243	You lose $0.20!	46.319	1.707	0	0	You pressed too slow!
n/a	n/a	SmallGain	48.019	2	50.002	2.0	52.002	0.263	You did not earn $0.20!	52.335	1.687	0	0	You pressed too slow!
n/a	n/a	SmallLoss	54.018	2	56.001	1.5	57.501	0.263	You lose $0.20!	57.834	1.687	0	0	You pressed too slow!
n/a	n/a	SmallLoss	59.517	2	61.5	3.0	64.5	0.263	You lose $0.20!	64.833	1.687	0	0	You pressed too slow!
n/a	n/a	LargeGain	66.516	2	68.499	4.0	72.498	0.313	You earn $5!	72.881	1.637	1	203	Correct Response!
n/a	n/a	LargeGain	74.514	2	76.497	2.5	78.997	0.313	You earn $5!	79.38	1.637	1	270	Correct Response!
n/a	n/a	NoMoneyStake	81.013	2	82.996	1.5	84.496	0.313	No money at stake!	84.879	1.637	1	288	Correct Response!
n/a	n/a	LargeGain	86.512	2	88.495	1.5	89.995	0.313	You earn $5!	90.378	1.637	1	244	Correct Response!
n/a	n/a	SmallGain	92.011	2	93.994	1.5	95.494	0.333	You earn $0.20!	95.894	1.617	1	240	Correct Response!
n/a	n/a	LargeLoss	97.51	2	99.493	1.5	100.993	0.333	You keep $5!	101.393	1.617	1	228	Correct Response!
n/a	n/a	SmallGain	103.009	2	104.992	2.5	107.492	0.333	You earn $0.20!	107.892	1.617	1	238	Correct Response!
n/a	n/a	SmallGain	109.508	2	111.491	3.0	114.491	0.283	You earn $0.20!	114.841	1.667	1	208	Correct Response!
n/a	n/a	NoMoneyStake	116.507	2	118.49	2.0	120.49	0.283	No money at stake!	120.856	1.667	0	0	You pressed too slow!
n/a	n/a	SmallGain	122.506	2	124.489	3.5	127.988	0.283	You earn $0.20!	128.338	1.667	1	247	Correct Response!
