onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.009	2	2.009	1.5	3.509	0.222	You lose $0.20!	3.808	1.728	0	0	You pressed too slow!
n/a	n/a	LargeLoss	5.525	2	7.508	3.5	11.007	0.222	You lose $5!	11.307	1.728	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	13.024	2	15.007	2.5	17.506	0.222	No money at stake!	17.806	1.728	0	0	You pressed too slow!
n/a	n/a	LargeLoss	19.522	2	21.505	3.0	24.505	0.222	You lose $5!	24.805	1.728	0	0	You pressed too slow!
n/a	n/a	SmallGain	26.521	2	28.504	4.0	32.503	0.292	You earn $0.20!	32.87	1.658	1	236	Correct Response!
n/a	n/a	LargeGain	34.52	2	36.503	1.5	38.002	0.292	You earn $5!	38.369	1.658	1	264	Correct Response!
n/a	n/a	SmallLoss	40.019	2	42.002	4.0	46.001	0.292	You keep $0.20!	46.368	1.658	1	221	Correct Response!
n/a	n/a	SmallGain	48.017	2	50.0	2.0	52.0	0.312	You earn $0.20!	52.383	1.638	1	229	Correct Response!
n/a	n/a	SmallLoss	54.016	2	55.999	1.5	57.499	0.312	You keep $0.20!	57.882	1.638	1	232	Correct Response!
n/a	n/a	SmallLoss	59.515	2	61.498	3.0	64.498	0.312	You keep $0.20!	64.881	1.638	1	230	Correct Response!
n/a	n/a	LargeGain	66.514	2	68.497	4.0	72.496	0.262	You earn $5!	72.83	1.688	1	232	Correct Response!
n/a	n/a	LargeGain	74.513	2	76.496	2.5	78.995	0.262	You earn $5!	79.328	1.688	1	242	Correct Response!
n/a	n/a	NoMoneyStake	81.012	2	82.994	1.5	84.494	0.262	No money at stake!	84.828	1.688	1	237	Correct Response!
n/a	n/a	LargeGain	86.511	2	88.494	1.5	89.993	0.262	You did not earn $5!	90.327	1.688	0	0	You pressed too slow!
n/a	n/a	SmallGain	92.01	2	93.993	1.5	95.492	0.232	You earn $0.20!	95.792	1.718	1	228	Correct Response!
n/a	n/a	LargeLoss	97.509	2	99.492	1.5	100.991	0.232	You lose $5!	101.291	1.718	0	0	You pressed too slow!
n/a	n/a	SmallGain	103.008	2	104.991	2.5	107.49	0.232	You earn $0.20!	107.79	1.718	1	213	Correct Response!
n/a	n/a	SmallGain	109.506	2	111.489	3.0	114.489	0.212	You did not earn $0.20!	114.772	1.738	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	116.505	2	118.488	2.0	120.488	0.212	No money at stake!	120.771	1.738	0	0	You pressed too slow!
n/a	n/a	SmallGain	122.504	2	124.487	3.5	127.987	0.212	You did not earn $0.20!	128.27	1.738	0	0	You pressed too slow!
n/a	n/a	LargeLoss	130.003	2	131.986	2.0	133.985	0.212	You lose $5!	134.269	1.738	0	0	You pressed too slow!
n/a	n/a	LargeGain	136.002	2	137.985	3.0	140.984	0.252	You earn $5!	141.317	1.698	1	207	Correct Response!
n/a	n/a	LargeGain	143.001	2	144.984	2.0	146.983	0.252	You earn $5!	147.316	1.698	1	243	Correct Response!
n/a	n/a	NoMoneyStake	148.999	2	150.982	3.0	153.982	0.252	No money at stake!	154.315	1.698	0	0	You pressed too slow!
n/a	n/a	LargeLoss	155.998	2	157.981	2.5	160.481	0.252	You keep $5!	160.814	1.698	1	217	Correct Response!
n/a	n/a	SmallGain	162.497	2	164.48	1.5	165.98	0.272	You earn $0.20!	166.33	1.678	1	227	Correct Response!
n/a	n/a	NoMoneyStake	167.996	2	169.979	4.0	173.978	0.272	No money at stake!	174.328	1.678	1	242	Correct Response!
n/a	n/a	SmallLoss	175.995	2	177.978	2.0	179.977	0.272	You keep $0.20!	180.327	1.678	1	227	Correct Response!
n/a	n/a	NoMoneyStake	181.994	2	183.977	1.5	185.476	0.272	No money at stake!	185.826	1.678	1	241	Correct Response!
n/a	n/a	SmallLoss	187.493	2	189.476	3.5	192.975	0.272	You keep $0.20!	193.325	1.678	1	227	Correct Response!
n/a	n/a	NoMoneyStake	194.991	2	196.974	2.0	198.974	0.222	No money at stake!	199.274	1.728	0	0	You pressed too slow!
n/a	n/a	SmallLoss	200.99	2	202.973	1.5	204.473	0.222	You lose $0.20!	204.773	1.728	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	206.489	2	208.472	3.5	211.972	0.222	No money at stake!	212.272	1.728	0	0	You pressed too soon!
n/a	n/a	LargeGain	213.988	2	215.971	3.5	219.47	0.222	You did not earn $5!	219.77	1.728	0	0	You pressed too slow!
n/a	n/a	SmallGain	221.487	2	223.47	2.0	225.469	0.222	You did not earn $0.20!	225.769	1.728	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	227.486	2	229.469	1.5	230.968	0.242	No money at stake!	231.285	1.708	1	236	Correct Response!
n/a	n/a	LargeLoss	232.985	2	234.968	2.0	236.967	0.242	You keep $5!	237.284	1.708	1	222	Correct Response!
n/a	n/a	LargeGain	238.984	2	240.967	1.5	242.466	0.242	You did not earn $5!	242.783	1.708	0	0	You pressed too slow!
n/a	n/a	LargeLoss	244.483	2	246.466	1.5	247.965	0.242	You keep $5!	248.282	1.708	1	204	Correct Response!
n/a	n/a	NoMoneyStake	249.982	2	251.965	1.5	253.464	0.282	No money at stake!	253.814	1.668	1	220	Correct Response!
n/a	n/a	LargeGain	255.481	2	257.464	2.0	259.463	0.282	You earn $5!	259.813	1.668	1	217	Correct Response!
n/a	n/a	LargeLoss	261.48	2	263.463	1.5	264.962	0.282	You keep $5!	265.312	1.668	1	228	Correct Response!
n/a	n/a	SmallGain	266.979	2	268.962	1.5	270.461	0.282	You earn $0.20!	270.811	1.668	1	216	Correct Response!
n/a	n/a	SmallLoss	272.478	2	274.461	1.5	275.96	0.252	You keep $0.20!	276.294	1.698	1	175	Correct Response!
n/a	n/a	SmallLoss	277.977	2	279.96	2.5	282.459	0.252	You lose $0.20!	282.792	1.698	0	0	You pressed too soon!
n/a	n/a	LargeLoss	284.476	2	286.459	1.5	287.958	0.252	You keep $5!	288.292	1.698	1	220	Correct Response!
n/a	n/a	LargeGain	289.975	2	291.958	1.5	293.457	0.222	You earn $5!	293.757	1.728	1	216	Correct Response!
n/a	n/a	SmallGain	295.474	2	297.457	1.5	298.956	0.222	You earn $0.20!	299.256	1.728	1	215	Correct Response!
n/a	n/a	SmallLoss	300.973	2	302.956	2.0	304.955	0.222	You keep $0.20!	305.255	1.728	1	217	Correct Response!
n/a	n/a	LargeLoss	306.972	2	308.955	4.0	312.954	0.192	You lose $5!	313.22	1.758	0	0	You pressed too slow!
