onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	NoMoneyStake	0.057	2	2.007	2.0	4.007	0.3	No money at stake!	4.39	1.65	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	6.024	2	8.007	1.5	9.506	0.3	No money at stake!	9.89	1.65	1	263	Correct Response!
n/a	n/a	LargeLoss	11.54	2	13.506	2.5	16.006	0.3	You lose $5!	16.389	1.65	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	18.022	2	20.005	1.5	21.505	0.3	No money at stake!	21.889	1.65	1	263	Correct Response!
n/a	n/a	LargeGain	23.555	2	25.505	1.5	27.005	0.3	You earn $5!	27.388	1.65	1	245	Correct Response!
n/a	n/a	SmallLoss	29.038	2	31.004	1.5	32.504	0.3	You keep $0.20!	32.887	1.65	1	267	Correct Response!
n/a	n/a	LargeLoss	34.52	2	36.504	4.0	40.503	0.28	You lose $5!	40.87	1.67	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	42.52	2	44.503	3.5	48.002	0.28	No money at stake!	48.369	1.67	0	0	You pressed too slow!
n/a	n/a	SmallGain	50.035	2	52.002	2.5	54.502	0.28	You earn $0.20!	54.868	1.67	1	243	Correct Response!
n/a	n/a	LargeLoss	56.518	2	58.501	2.0	60.501	0.28	You keep $5!	60.868	1.67	1	270	Correct Response!
n/a	n/a	SmallLoss	62.518	2	64.501	1.5	66.0	0.26	You lose $0.20!	66.35	1.69	0	0	You pressed too slow!
n/a	n/a	SmallGain	68.017	2	70.0	3.0	73.0	0.26	You did not earn $0.20!	73.35	1.69	0	0	You pressed too soon!
n/a	n/a	LargeLoss	75.016	2	76.999	1.5	78.499	0.26	You lose $5!	78.849	1.69	0	0	You pressed too slow!
n/a	n/a	SmallGain	80.516	2	82.499	1.5	83.999	0.3	You earn $0.20!	84.382	1.65	1	265	Correct Response!
n/a	n/a	SmallGain	86.015	2	87.998	2.0	89.998	0.3	You earn $0.20!	90.381	1.65	1	250	Correct Response!
n/a	n/a	LargeLoss	92.014	2	93.997	2.0	95.997	0.3	You keep $5!	96.381	1.65	1	248	Correct Response!
n/a	n/a	NoMoneyStake	98.014	2	99.997	2.5	102.497	0.32	No money at stake!	102.896	1.63	1	288	Correct Response!
n/a	n/a	LargeLoss	104.513	2	106.496	1.5	107.996	0.32	You keep $5!	108.396	1.63	1	282	Correct Response!
n/a	n/a	LargeGain	110.012	2	111.995	3.5	115.495	0.32	You did not earn $5!	115.895	1.63	0	0	You pressed too slow!
n/a	n/a	LargeGain	117.512	2	119.495	1.5	120.995	0.32	You earn $5!	121.394	1.63	1	265	Correct Response!
n/a	n/a	LargeLoss	123.011	2	124.994	3.0	127.994	0.29	You keep $5!	128.36	1.66	1	283	Correct Response!
n/a	n/a	SmallLoss	130.01	2	131.993	2.0	133.993	0.29	You lose $0.20!	134.36	1.66	0	0	You pressed too slow!
n/a	n/a	SmallGain	136.01	2	137.993	3.5	141.492	0.29	You did not earn $0.20!	141.859	1.66	0	0	You pressed too slow!
n/a	n/a	LargeGain	143.509	2	145.492	2.5	147.992	0.31	You earn $5!	148.375	1.64	1	291	Correct Response!
n/a	n/a	SmallGain	150.008	2	151.991	4.0	155.991	0.31	You earn $0.20!	156.391	1.64	1	245	Correct Response!
n/a	n/a	SmallLoss	158.007	2	159.99	4.0	163.99	0.31	You keep $0.20!	164.39	1.64	1	234	Correct Response!
n/a	n/a	LargeGain	166.006	2	167.99	2.0	169.989	0.29	You did not earn $5!	170.356	1.66	0	0	You pressed too slow!
n/a	n/a	LargeGain	172.006	2	173.989	3.0	176.989	0.29	You earn $5!	177.355	1.66	1	252	Correct Response!
n/a	n/a	NoMoneyStake	179.005	2	180.988	4.0	184.988	0.29	No money at stake!	185.354	1.66	0	0	You pressed too slow!
n/a	n/a	LargeLoss	187.004	2	188.987	1.5	190.487	0.29	You lose $5!	190.854	1.66	0	0	You pressed too slow!
n/a	n/a	SmallGain	192.504	2	194.487	1.5	195.986	0.27	You did not earn $0.20!	196.336	1.68	0	0	You pressed too slow!
n/a	n/a	LargeGain	198.003	2	199.986	1.5	201.486	0.27	You did not earn $5!	201.836	1.68	0	0	You pressed too slow!
n/a	n/a	LargeGain	203.502	2	205.486	4.0	209.485	0.27	You earn $5!	209.835	1.68	1	250	Correct Response!
n/a	n/a	SmallLoss	211.501	2	213.485	3.5	216.984	0.31	You keep $0.20!	217.384	1.64	1	258	Correct Response!
n/a	n/a	NoMoneyStake	219.001	2	220.984	1.5	222.484	0.31	No money at stake!	222.884	1.64	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	224.5	2	226.483	2.0	228.483	0.31	No money at stake!	228.883	1.64	0	0	You pressed too slow!
n/a	n/a	SmallLoss	230.499	2	232.483	2.0	234.482	0.31	You keep $0.20!	234.882	1.64	1	282	Correct Response!
n/a	n/a	LargeLoss	236.499	2	238.482	1.5	239.982	0.31	You keep $5!	240.365	1.64	1	272	Correct Response!
n/a	n/a	LargeLoss	241.998	2	243.981	3.5	247.481	0.29	You keep $5!	247.848	1.66	1	277	Correct Response!
n/a	n/a	SmallLoss	249.497	2	251.481	3.0	254.48	0.29	You keep $0.20!	254.847	1.66	1	270	Correct Response!
n/a	n/a	LargeGain	256.497	2	258.48	2.0	260.48	0.29	You earn $5!	260.846	1.66	1	275	Correct Response!
n/a	n/a	SmallLoss	262.496	2	264.479	1.5	265.979	0.24	You lose $0.20!	266.296	1.71	0	0	You pressed too slow!
n/a	n/a	SmallGain	267.995	2	269.979	1.5	271.478	0.24	You did not earn $0.20!	271.795	1.71	0	0	You pressed too slow!
n/a	n/a	SmallGain	273.495	2	275.478	1.5	276.978	0.24	You did not earn $0.20!	277.294	1.71	0	0	You pressed too slow!
n/a	n/a	LargeGain	278.994	2	280.977	1.5	282.477	0.26	You did not earn $5!	282.827	1.69	0	0	You pressed too slow!
