onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallGain	0.018	2	2.001	1.5	3.501	0.33	You did not earn $0.20!	3.918	1.62	0	0	You pressed too slow!
n/a	n/a	LargeGain	5.517	2	7.501	1.5	9.0	0.33	You earn $5!	9.417	1.62	1	292	Correct Response!
n/a	n/a	LargeGain	11.017	2	13.0	1.5	14.5	0.33	You earn $5!	14.916	1.62	1	248	Correct Response!
n/a	n/a	SmallGain	16.516	2	18.499	4.0	22.499	0.31	You did not earn $0.20!	22.899	1.64	0	0	You pressed too slow!
n/a	n/a	LargeLoss	24.515	2	26.499	1.5	27.998	0.31	You lose $5!	28.382	1.64	0	0	You pressed too slow!
n/a	n/a	LargeLoss	30.015	2	31.998	1.5	33.498	0.31	You lose $5!	33.898	1.64	0	0	You pressed too slow!
n/a	n/a	LargeGain	35.514	2	37.497	1.5	38.997	0.35	You earn $5!	39.43	1.6	1	239	Correct Response!
n/a	n/a	SmallLoss	41.014	2	42.997	3.5	46.496	0.35	You keep $0.20!	46.93	1.6	1	289	Correct Response!
n/a	n/a	LargeGain	48.513	2	50.496	4.0	54.495	0.35	You earn $5!	54.929	1.6	1	318	Correct Response!
n/a	n/a	LargeLoss	56.512	2	58.495	2.5	60.995	0.37	You lose $5!	61.445	1.58	0	0	You pressed too slow!
n/a	n/a	SmallLoss	63.011	2	64.994	1.5	66.494	0.37	You lose $0.20!	66.944	1.58	0	0	You pressed too slow!
n/a	n/a	SmallLoss	68.511	2	70.494	1.5	71.994	0.37	You lose $0.20!	72.444	1.58	0	0	You pressed too slow!
n/a	n/a	LargeLoss	74.01	2	75.993	1.5	77.493	0.39	You keep $5!	77.96	1.56	1	283	Correct Response!
n/a	n/a	NoMoneyStake	79.509	2	81.493	1.5	82.992	0.39	No money at stake!	83.459	1.56	0	0	You pressed too soon!
n/a	n/a	SmallLoss	85.009	2	86.992	1.5	88.492	0.39	You keep $0.20!	88.958	1.56	1	287	Correct Response!
n/a	n/a	SmallLoss	90.508	2	92.491	2.0	94.491	0.39	You keep $0.20!	94.958	1.56	1	299	Correct Response!
