onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.02	2	2.003	2.0	4.003	0.273	You keep $0.20!	4.353	1.677	1	257	Correct Response!
n/a	n/a	LargeGain	6.019	2	8.002	4.0	12.001	0.273	You earn $5!	12.351	1.677	1	256	Correct Response!
n/a	n/a	SmallLoss	14.018	2	16.001	3.0	19.0	0.273	You keep $0.20!	19.35	1.677	1	247	Correct Response!
n/a	n/a	SmallGain	21.017	2	23.0	2.0	24.999	0.223	You did not earn $0.20!	25.299	1.727	0	0	You pressed too slow!
n/a	n/a	LargeLoss	27.016	2	28.999	2.0	30.998	0.223	You lose $5!	31.298	1.727	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	33.015	2	34.998	2.5	37.497	0.223	No money at stake!	37.797	1.727	1	220	Correct Response!
n/a	n/a	SmallGain	39.513	2	41.496	2.5	43.996	0.223	You did not earn $0.20!	44.296	1.727	0	0	You pressed too slow!
n/a	n/a	SmallGain	46.012	2	47.995	1.5	49.495	0.243	You did not earn $0.20!	49.812	1.707	0	0	You pressed too slow!
n/a	n/a	LargeGain	51.511	2	53.494	1.5	54.994	0.243	You earn $5!	55.311	1.707	1	232	Correct Response!
n/a	n/a	SmallLoss	57.01	2	58.993	2.0	60.993	0.243	You lose $0.20!	61.31	1.707	0	0	You pressed too soon!
n/a	n/a	LargeGain	63.009	2	64.992	2.5	67.492	0.293	You earn $5!	67.858	1.657	1	230	Correct Response!
n/a	n/a	LargeLoss	69.508	2	71.491	3.5	74.991	0.293	You keep $5!	75.357	1.657	1	212	Correct Response!
n/a	n/a	SmallLoss	77.007	2	78.99	3.5	82.489	0.293	You keep $0.20!	82.856	1.657	1	219	Correct Response!
n/a	n/a	NoMoneyStake	84.506	2	86.489	1.5	87.988	0.273	No money at stake!	88.338	1.677	0	0	You pressed too slow!
n/a	n/a	LargeLoss	90.005	2	91.988	4.0	95.987	0.273	You keep $5!	96.337	1.677	1	244	Correct Response!
n/a	n/a	NoMoneyStake	98.003	2	99.986	4.0	103.986	0.273	No money at stake!	104.336	1.677	1	260	Correct Response!
n/a	n/a	LargeLoss	106.002	2	107.985	3.0	110.984	0.273	You keep $5!	111.334	1.677	1	234	Correct Response!
n/a	n/a	SmallLoss	113.001	2	114.984	1.5	116.483	0.273	You lose $0.20!	116.833	1.677	0	0	You pressed too slow!
n/a	n/a	LargeGain	118.5	2	120.483	2.0	122.482	0.243	You did not earn $5!	122.799	1.707	0	0	You pressed too slow!
n/a	n/a	SmallLoss	124.499	2	126.482	4.0	130.481	0.243	You lose $0.20!	130.798	1.707	0	0	You pressed too slow!
n/a	n/a	SmallGain	132.497	2	134.48	1.5	135.98	0.243	You did not earn $0.20!	136.297	1.707	0	0	You pressed too slow!
n/a	n/a	LargeLoss	137.996	2	139.979	1.5	141.479	0.283	You keep $5!	141.829	1.667	1	231	Correct Response!
n/a	n/a	LargeGain	143.495	2	145.478	3.5	148.978	0.283	You earn $5!	149.328	1.667	1	238	Correct Response!
n/a	n/a	SmallGain	150.994	2	152.977	4.0	156.976	0.283	You earn $0.20!	157.326	1.667	1	251	Correct Response!
n/a	n/a	NoMoneyStake	158.993	2	160.976	2.0	162.975	0.303	No money at stake!	163.359	1.647	1	253	Correct Response!
n/a	n/a	LargeLoss	164.992	2	166.975	2.0	168.974	0.303	You keep $5!	169.358	1.647	1	258	Correct Response!
