onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.082	2	1.999	2.0	3.998	0.333	You keep $0.20!	4.415	1.617	1	262	Correct Response!
n/a	n/a	LargeGain	6.048	2	7.998	4.0	11.997	0.333	You earn $5!	12.414	1.617	1	282	Correct Response!
n/a	n/a	SmallLoss	14.014	2	15.997	3.0	18.997	0.333	You keep $0.20!	19.413	1.617	1	296	Correct Response!
n/a	n/a	SmallGain	21.013	2	22.996	2.0	24.996	0.283	You earn $0.20!	25.363	1.667	1	250	Correct Response!
n/a	n/a	LargeLoss	27.029	2	28.996	2.0	30.995	0.283	You keep $5!	31.362	1.667	1	280	Correct Response!
n/a	n/a	NoMoneyStake	33.012	2	34.995	2.5	37.495	0.283	No money at stake!	37.861	1.667	1	272	Correct Response!
n/a	n/a	SmallGain	39.511	2	41.494	2.5	43.994	0.283	You earn $0.20!	44.361	1.667	1	271	Correct Response!
n/a	n/a	SmallGain	46.011	2	47.994	1.5	49.493	0.233	You did not earn $0.20!	49.81	1.717	0	0	You pressed too slow!
n/a	n/a	LargeGain	51.51	2	53.493	1.5	54.993	0.233	You earn $5!	55.31	1.717	1	229	Correct Response!
n/a	n/a	SmallLoss	57.009	2	58.992	2.0	60.992	0.233	You lose $0.20!	61.309	1.717	0	0	You pressed too slow!
n/a	n/a	LargeGain	63.009	2	64.992	2.5	67.492	0.213	You did not earn $5!	67.791	1.737	0	0	You pressed too slow!
n/a	n/a	LargeLoss	69.508	2	71.491	3.5	74.991	0.213	You lose $5!	75.291	1.737	0	0	You pressed too slow!
n/a	n/a	SmallLoss	77.007	2	78.99	3.5	82.49	0.213	You lose $0.20!	82.79	1.737	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	84.506	2	86.49	1.5	87.989	0.263	No money at stake!	88.339	1.687	0	0	You pressed too slow!
n/a	n/a	LargeLoss	90.006	2	91.989	4.0	95.988	0.263	You keep $5!	96.338	1.687	1	225	Correct Response!
n/a	n/a	NoMoneyStake	98.005	2	99.988	4.0	103.988	0.263	No money at stake!	104.338	1.687	1	243	Correct Response!
n/a	n/a	LargeLoss	106.004	2	107.987	3.0	110.987	0.263	You keep $5!	111.337	1.687	1	232	Correct Response!
