onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	LargeGain	0.011	2	2.011	1.5	3.51	0.216	You did not earn $5!	3.81	1.734	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	5.527	2	7.51	2.5	10.009	0.216	No money at stake!	10.309	1.734	0	0	You pressed too slow!
n/a	n/a	SmallLoss	12.026	2	14.009	1.5	15.508	0.216	You keep $0.20!	15.792	1.734	1	210	Correct Response!
n/a	n/a	LargeLoss	17.525	2	19.508	2.5	22.007	0.216	You keep $5!	22.291	1.734	1	204	Correct Response!
n/a	n/a	NoMoneyStake	24.024	2	26.007	1.5	27.506	0.196	No money at stake!	27.773	1.754	0	0	You pressed too slow!
n/a	n/a	SmallGain	29.523	2	31.506	2.0	33.505	0.196	You earn $0.20!	33.772	1.754	1	185	Correct Response!
n/a	n/a	SmallLoss	35.522	2	37.504	3.5	41.004	0.196	You lose $0.20!	41.27	1.754	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	43.02	2	45.003	1.5	46.503	0.196	No money at stake!	46.77	1.754	0	0	You pressed too slow!
n/a	n/a	SmallGain	48.519	2	50.502	1.5	52.002	0.196	You did not earn $0.20!	52.269	1.754	0	0	You pressed too slow!
n/a	n/a	LargeGain	54.018	2	56.001	2.0	58.001	0.216	You did not earn $5!	58.301	1.734	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	60.017	2	62.0	2.0	64.0	0.216	No money at stake!	64.3	1.734	0	0	You pressed too slow!
n/a	n/a	SmallGain	66.016	2	67.999	1.5	69.499	0.216	You did not earn $0.20!	69.799	1.734	0	0	You pressed too slow!
n/a	n/a	SmallLoss	71.515	2	73.498	4.0	77.497	0.216	You lose $0.20!	77.781	1.734	0	0	You pressed too soon!
n/a	n/a	NoMoneyStake	79.514	2	81.497	1.5	82.996	0.266	No money at stake!	83.33	1.684	1	235	Correct Response!
n/a	n/a	LargeLoss	85.013	2	86.996	1.5	88.495	0.266	You keep $5!	88.829	1.684	1	235	Correct Response!
n/a	n/a	SmallGain	90.512	2	92.495	3.5	95.994	0.266	You earn $0.20!	96.327	1.684	1	230	Correct Response!
n/a	n/a	LargeLoss	98.01	2	99.993	3.0	102.993	0.266	You keep $5!	103.326	1.684	1	225	Correct Response!
n/a	n/a	NoMoneyStake	105.009	2	106.992	1.5	108.492	0.286	No money at stake!	108.859	1.664	1	227	Correct Response!
n/a	n/a	LargeGain	110.508	2	112.491	3.5	115.991	0.286	You earn $5!	116.357	1.664	1	233	Correct Response!
n/a	n/a	LargeLoss	118.007	2	119.99	1.5	121.49	0.286	You keep $5!	121.856	1.664	1	232	Correct Response!
n/a	n/a	SmallGain	123.506	2	125.489	1.5	126.989	0.286	You earn $0.20!	127.355	1.664	1	252	Correct Response!
n/a	n/a	SmallGain	129.005	2	130.988	2.0	132.988	0.236	You did not earn $0.20!	133.304	1.714	0	0	You pressed too slow!
n/a	n/a	LargeLoss	135.004	2	136.987	2.0	138.987	0.236	You keep $5!	139.303	1.714	1	231	Correct Response!
n/a	n/a	SmallLoss	141.003	2	142.986	1.5	144.486	0.236	You keep $0.20!	144.802	1.714	1	223	Correct Response!
n/a	n/a	LargeGain	146.502	2	148.485	4.0	152.484	0.206	You did not earn $5!	152.767	1.744	0	0	You pressed too slow!
n/a	n/a	SmallGain	154.501	2	156.483	2.5	158.983	0.206	You did not earn $0.20!	159.266	1.744	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	160.999	2	162.982	4.0	166.982	0.206	No money at stake!	167.265	1.744	0	0	You pressed too slow!
n/a	n/a	SmallLoss	168.998	2	170.981	2.0	172.981	0.206	You lose $0.20!	173.264	1.744	0	0	You pressed too slow!
n/a	n/a	SmallGain	174.997	2	176.98	3.0	179.979	0.246	You earn $0.20!	180.296	1.704	1	231	Correct Response!
n/a	n/a	LargeGain	181.996	2	183.979	1.5	185.478	0.246	You earn $5!	185.795	1.704	1	221	Correct Response!
n/a	n/a	SmallLoss	187.495	2	189.478	2.0	191.477	0.246	You keep $0.20!	191.794	1.704	1	221	Correct Response!
n/a	n/a	LargeLoss	193.494	2	195.477	2.0	197.476	0.266	You keep $5!	197.81	1.684	1	214	Correct Response!
n/a	n/a	LargeGain	199.493	2	201.476	3.0	204.475	0.266	You earn $5!	204.808	1.684	1	210	Correct Response!
n/a	n/a	NoMoneyStake	206.491	2	208.474	3.5	211.974	0.266	No money at stake!	212.324	1.684	1	228	Correct Response!
n/a	n/a	NoMoneyStake	213.99	2	215.973	3.0	218.972	0.266	No money at stake!	219.306	1.684	1	227	Correct Response!
n/a	n/a	LargeLoss	220.989	2	222.972	1.5	224.471	0.266	You keep $5!	224.805	1.684	1	225	Correct Response!
n/a	n/a	LargeGain	226.488	2	228.471	1.5	229.97	0.216	You did not earn $5!	230.27	1.734	0	0	You pressed too slow!
n/a	n/a	LargeLoss	231.987	2	233.97	3.5	237.469	0.216	You lose $5!	237.752	1.734	0	0	You pressed too slow!
n/a	n/a	LargeLoss	239.485	2	241.468	1.5	242.968	0.216	You keep $5!	243.251	1.734	1	208	Correct Response!
n/a	n/a	SmallLoss	244.985	2	246.967	2.5	249.467	0.196	You lose $0.20!	249.734	1.754	0	0	You pressed too slow!
n/a	n/a	LargeGain	251.483	2	253.466	1.5	254.966	0.196	You did not earn $5!	255.233	1.754	0	0	You pressed too slow!
n/a	n/a	SmallLoss	256.982	2	258.965	1.5	260.465	0.196	You lose $0.20!	260.732	1.754	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	262.481	2	264.464	2.0	266.464	0.246	No money at stake!	266.781	1.704	1	238	Correct Response!
n/a	n/a	LargeLoss	268.48	2	270.463	4.0	274.463	0.246	You keep $5!	274.779	1.704	1	223	Correct Response!
n/a	n/a	SmallGain	276.479	2	278.462	1.5	279.962	0.246	You did not earn $0.20!	280.278	1.704	0	0	You pressed too slow!
n/a	n/a	LargeGain	281.978	2	283.961	2.5	286.461	0.246	You earn $5!	286.777	1.704	1	219	Correct Response!
n/a	n/a	SmallLoss	288.477	2	290.46	3.0	293.459	0.286	You keep $0.20!	293.826	1.664	1	216	Correct Response!
n/a	n/a	LargeGain	295.476	2	297.459	2.0	299.458	0.286	You earn $5!	299.825	1.664	1	213	Correct Response!
n/a	n/a	SmallGain	301.475	2	303.458	4.0	307.457	0.286	You earn $0.20!	307.823	1.664	1	231	Correct Response!
n/a	n/a	SmallLoss	309.473	2	311.456	1.5	312.956	0.256	You keep $0.20!	313.289	1.694	1	224	Correct Response!
