onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.015	2	1.998	3.5	5.497	0.289	You keep $0.20!	5.864	1.661	1	258	Correct Response!
n/a	n/a	NoMoneyStake	7.513	2	9.497	3.0	12.496	0.289	No money at stake!	12.863	1.661	1	260	Correct Response!
n/a	n/a	SmallLoss	14.512	2	16.495	2.0	18.495	0.289	You lose $0.20!	18.861	1.661	0	0	You pressed too slow!
n/a	n/a	SmallGain	20.511	2	22.494	1.5	23.994	0.289	You did not earn $0.20!	24.361	1.661	0	0	You pressed too slow!
n/a	n/a	LargeGain	26.01	2	27.993	1.5	29.493	0.329	You did not earn $5!	29.893	1.621	0	0	You pressed too slow!
n/a	n/a	SmallGain	31.509	2	33.492	1.5	34.992	0.329	You did not earn $0.20!	35.392	1.621	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	37.008	2	38.991	1.5	40.491	0.329	No money at stake!	40.891	1.621	1	312	Correct Response!
n/a	n/a	LargeLoss	42.507	2	44.49	2.5	46.99	0.329	You keep $5!	47.39	1.621	1	258	Correct Response!
n/a	n/a	SmallGain	49.006	2	50.989	3.5	54.489	0.369	You earn $0.20!	54.939	1.581	1	249	Correct Response!
n/a	n/a	SmallGain	56.505	2	58.488	2.0	60.488	0.369	You earn $0.20!	60.938	1.581	1	254	Correct Response!
n/a	n/a	NoMoneyStake	62.504	2	64.487	4.0	68.486	0.369	No money at stake!	68.936	1.581	1	243	Correct Response!
n/a	n/a	SmallLoss	70.503	2	72.486	1.5	73.985	0.369	You lose $0.20!	74.435	1.581	0	0	You pressed too slow!
n/a	n/a	LargeGain	76.002	2	77.985	2.5	80.484	0.389	You earn $5!	80.951	1.561	1	245	Correct Response!
n/a	n/a	SmallGain	82.5	2	84.483	3.0	87.483	0.389	You earn $0.20!	87.949	1.561	1	235	Correct Response!
n/a	n/a	SmallLoss	89.499	2	91.482	1.5	92.982	0.389	You keep $0.20!	93.449	1.561	1	349	Correct Response!
n/a	n/a	NoMoneyStake	94.998	2	96.981	2.5	99.481	0.359	No money at stake!	99.914	1.591	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	101.497	2	103.48	1.5	104.98	0.359	No money at stake!	105.413	1.591	1	322	Correct Response!
n/a	n/a	SmallLoss	106.996	2	108.979	4.0	112.978	0.359	You keep $0.20!	113.412	1.591	1	294	Correct Response!
n/a	n/a	LargeLoss	114.995	2	116.978	3.5	120.477	0.359	You lose $5!	120.91	1.591	0	0	You pressed too slow!
n/a	n/a	LargeGain	122.493	2	124.477	4.0	128.476	0.359	You earn $5!	128.909	1.591	1	305	Correct Response!
n/a	n/a	LargeLoss	130.492	2	132.475	1.5	133.975	0.329	You lose $5!	134.375	1.621	0	0	You pressed too slow!
n/a	n/a	SmallLoss	135.991	2	137.974	2.0	139.974	0.329	You keep $0.20!	140.374	1.621	1	239	Correct Response!
n/a	n/a	LargeLoss	141.99	2	143.973	1.5	145.473	0.329	You lose $5!	145.873	1.621	0	0	You pressed too slow!
n/a	n/a	SmallGain	147.489	2	149.472	2.5	151.972	0.349	You earn $0.20!	152.388	1.601	1	249	Correct Response!
n/a	n/a	NoMoneyStake	153.988	2	155.971	2.0	157.971	0.349	No money at stake!	158.387	1.601	1	266	Correct Response!
n/a	n/a	LargeLoss	159.987	2	161.97	2.0	163.97	0.349	You keep $5!	164.386	1.601	1	339	Correct Response!
n/a	n/a	LargeGain	165.986	2	167.969	1.5	169.469	0.349	You earn $5!	169.885	1.601	1	327	Correct Response!
n/a	n/a	LargeLoss	171.485	2	173.468	4.0	177.467	0.329	You keep $5!	177.867	1.621	1	284	Correct Response!
n/a	n/a	LargeGain	179.484	2	181.467	3.5	184.966	0.329	You earn $5!	185.366	1.621	1	255	Correct Response!
n/a	n/a	LargeGain	186.982	2	188.965	1.5	190.465	0.329	You earn $5!	190.865	1.621	1	269	Correct Response!
n/a	n/a	SmallLoss	192.481	2	194.464	1.5	195.964	0.279	You lose $0.20!	196.314	1.671	0	0	You pressed too slow!
n/a	n/a	SmallGain	197.98	2	199.963	1.5	201.463	0.279	You did not earn $0.20!	201.813	1.671	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	203.479	2	205.462	2.0	207.462	0.279	No money at stake!	207.812	1.671	1	259	Correct Response!
n/a	n/a	LargeLoss	209.478	2	211.461	1.5	212.961	0.279	You keep $5!	213.311	1.671	1	274	Correct Response!
n/a	n/a	NoMoneyStake	214.977	2	216.96	1.5	218.46	0.259	No money at stake!	218.793	1.691	0	0	You pressed too slow!
n/a	n/a	LargeGain	220.476	2	222.459	3.0	225.459	0.259	You earn $5!	225.792	1.691	1	253	Correct Response!
n/a	n/a	LargeLoss	227.475	2	229.458	3.0	232.458	0.259	You lose $5!	232.791	1.691	0	0	You pressed too slow!
