onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	LargeGain	0.033	2	2.0	1.5	3.5	0.317	You earn $5!	3.9	1.633	1	262	Correct Response!
n/a	n/a	LargeGain	5.516	2	7.499	4.0	11.499	0.317	You earn $5!	11.899	1.633	1	244	Correct Response!
n/a	n/a	SmallGain	13.515	2	15.498	2.5	17.998	0.317	You earn $0.20!	18.398	1.633	1	262	Correct Response!
n/a	n/a	SmallGain	20.015	2	21.998	4.0	25.997	0.267	You earn $0.20!	26.347	1.683	1	242	Correct Response!
n/a	n/a	LargeGain	28.014	2	29.997	2.0	31.996	0.267	You did not earn $5!	32.346	1.683	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	34.013	2	35.996	3.0	38.996	0.267	No money at stake!	39.346	1.683	0	0	You pressed too slow!
n/a	n/a	SmallLoss	41.012	2	42.995	1.5	44.495	0.267	You lose $0.20!	44.845	1.683	0	0	You pressed too slow!
n/a	n/a	LargeLoss	46.511	2	48.495	2.0	50.494	0.247	You keep $5!	50.828	1.703	1	227	Correct Response!
n/a	n/a	LargeGain	52.511	2	54.494	3.0	57.494	0.247	You earn $5!	57.827	1.703	1	240	Correct Response!
n/a	n/a	LargeLoss	59.51	2	61.493	2.0	63.493	0.247	You keep $5!	63.826	1.703	1	237	Correct Response!
n/a	n/a	NoMoneyStake	65.509	2	67.492	4.0	71.492	0.227	No money at stake!	71.809	1.723	0	0	You pressed too slow!
n/a	n/a	SmallLoss	73.508	2	75.491	3.5	78.991	0.227	You lose $0.20!	79.308	1.723	0	0	You pressed too slow!
n/a	n/a	SmallLoss	81.008	2	82.991	1.5	84.49	0.227	You lose $0.20!	84.807	1.723	0	0	You pressed too slow!
n/a	n/a	LargeLoss	86.507	2	88.49	1.5	89.99	0.227	You lose $5!	90.306	1.723	0	0	You pressed too slow!
n/a	n/a	SmallGain	92.006	2	93.989	2.0	95.989	0.247	You earn $0.20!	96.322	1.703	1	214	Correct Response!
n/a	n/a	SmallLoss	98.006	2	99.989	2.0	101.988	0.247	You lose $0.20!	102.322	1.703	0	0	You pressed too slow!
n/a	n/a	LargeLoss	104.005	2	105.988	1.5	107.488	0.247	You keep $5!	107.821	1.703	1	217	Correct Response!
n/a	n/a	LargeGain	109.504	2	111.487	3.5	114.987	0.287	You earn $5!	115.353	1.663	1	215	Correct Response!
n/a	n/a	NoMoneyStake	117.003	2	118.986	1.5	120.486	0.287	No money at stake!	120.853	1.663	0	0	You pressed too slow!
n/a	n/a	SmallLoss	122.503	2	124.486	2.0	126.486	0.287	You keep $0.20!	126.852	1.663	1	249	Correct Response!
n/a	n/a	NoMoneyStake	128.502	2	130.485	2.0	132.485	0.287	No money at stake!	132.851	1.663	1	224	Correct Response!
n/a	n/a	SmallGain	134.501	2	136.484	1.5	137.984	0.287	You earn $0.20!	138.351	1.663	1	218	Correct Response!
n/a	n/a	NoMoneyStake	140.001	2	141.984	1.5	143.484	0.257	No money at stake!	143.817	1.693	1	247	Correct Response!
n/a	n/a	SmallGain	145.5	2	147.483	3.0	150.483	0.257	You earn $0.20!	150.816	1.693	1	230	Correct Response!
n/a	n/a	LargeGain	152.499	2	154.482	1.5	155.982	0.257	You did not earn $5!	156.315	1.693	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	157.999	2	159.982	2.0	161.981	0.257	No money at stake!	162.315	1.693	1	233	Correct Response!
n/a	n/a	SmallGain	163.998	2	165.981	2.0	167.981	0.257	You earn $0.20!	168.314	1.693	1	226	Correct Response!
n/a	n/a	SmallLoss	169.997	2	171.98	1.5	173.48	0.227	You lose $0.20!	173.797	1.723	0	0	You pressed too slow!
n/a	n/a	SmallLoss	175.497	2	177.48	3.0	180.479	0.227	You keep $0.20!	180.796	1.723	1	226	Correct Response!
n/a	n/a	NoMoneyStake	182.496	2	184.479	1.5	185.979	0.227	No money at stake!	186.295	1.723	0	0	You pressed too slow!
n/a	n/a	SmallGain	187.995	2	189.978	1.5	191.478	0.227	You did not earn $0.20!	191.795	1.723	0	0	You pressed too slow!
n/a	n/a	SmallGain	193.494	2	195.478	3.5	198.977	0.247	You earn $0.20!	199.31	1.703	1	233	Correct Response!
n/a	n/a	LargeGain	200.994	2	202.977	1.5	204.477	0.247	You earn $5!	204.81	1.703	1	237	Correct Response!
n/a	n/a	LargeGain	206.493	2	208.476	2.5	210.976	0.247	You earn $5!	211.309	1.703	1	239	Correct Response!
n/a	n/a	SmallLoss	212.992	2	214.975	2.5	217.475	0.227	You lose $0.20!	217.792	1.723	0	0	You pressed too slow!
n/a	n/a	SmallLoss	219.491	2	221.475	4.0	225.474	0.227	You lose $0.20!	225.791	1.723	0	0	You pressed too slow!
n/a	n/a	SmallGain	227.491	2	229.474	1.5	230.973	0.227	You earn $0.20!	231.29	1.723	1	208	Correct Response!
n/a	n/a	SmallLoss	232.99	2	234.973	1.5	236.473	0.207	You lose $0.20!	236.756	1.743	0	0	You pressed too slow!
n/a	n/a	LargeLoss	238.489	2	240.472	1.5	241.972	0.207	You lose $5!	242.255	1.743	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	243.989	2	245.972	1.5	247.471	0.207	No money at stake!	247.755	1.743	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	249.488	2	251.471	2.5	253.971	0.207	No money at stake!	254.254	1.743	0	0	You pressed too slow!
n/a	n/a	LargeLoss	255.987	2	257.97	1.5	259.47	0.207	You lose $5!	259.753	1.743	0	0	You pressed too slow!
n/a	n/a	LargeLoss	261.487	2	263.47	4.0	267.469	0.257	You keep $5!	267.802	1.693	1	243	Correct Response!
n/a	n/a	NoMoneyStake	269.486	2	271.469	3.5	274.968	0.257	No money at stake!	275.302	1.693	1	231	Correct Response!
n/a	n/a	SmallGain	276.985	2	278.968	1.5	280.468	0.257	You did not earn $0.20!	280.801	1.693	0	0	You pressed too soon!
n/a	n/a	LargeGain	282.484	2	284.467	2.0	286.467	0.257	You earn $5!	286.8	1.693	1	248	Correct Response!
n/a	n/a	LargeGain	288.483	2	290.467	1.5	291.966	0.297	You earn $5!	292.35	1.653	1	260	Correct Response!
n/a	n/a	LargeLoss	293.983	2	295.966	3.0	298.966	0.297	You keep $5!	299.349	1.653	1	292	Correct Response!
n/a	n/a	LargeLoss	300.982	2	302.965	3.5	306.465	0.297	You keep $5!	306.848	1.653	1	236	Correct Response!
n/a	n/a	LargeLoss	308.481	2	310.464	2.5	312.964	0.267	You lose $5!	313.314	1.683	0	0	You pressed too slow!
