onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.02	2	2.003	2.0	4.003	0.296	You lose $0.20!	4.386	1.654	0	0	You pressed too slow!
n/a	n/a	LargeGain	6.019	2	8.002	4.0	12.002	0.296	You earn $5!	12.385	1.654	1	286	Correct Response!
n/a	n/a	SmallLoss	14.018	2	16.001	3.0	19.001	0.296	You lose $0.20!	19.384	1.654	0	0	You pressed too slow!
n/a	n/a	SmallGain	21.017	2	23.0	2.0	25.0	0.336	You did not earn $0.20!	25.417	1.614	0	0	You pressed too slow!
n/a	n/a	LargeLoss	27.017	2	29.0	2.0	31.0	0.336	You keep $5!	31.416	1.614	1	314	Correct Response!
n/a	n/a	NoMoneyStake	33.016	2	34.999	2.5	37.499	0.336	No money at stake!	37.915	1.614	1	282	Correct Response!
n/a	n/a	SmallGain	39.515	2	41.498	2.5	43.998	0.336	You earn $0.20!	44.415	1.614	1	280	Correct Response!
n/a	n/a	SmallGain	46.015	2	47.998	1.5	49.498	0.356	You earn $0.20!	49.931	1.594	1	288	Correct Response!
n/a	n/a	LargeGain	51.514	2	53.497	1.5	54.997	0.356	You earn $5!	55.43	1.594	1	340	Correct Response!
n/a	n/a	SmallLoss	57.013	2	58.996	2.0	60.996	0.356	You lose $0.20!	61.43	1.594	0	0	You pressed too slow!
n/a	n/a	LargeGain	63.013	2	64.996	2.5	67.496	0.336	You earn $5!	67.912	1.614	1	298	Correct Response!
n/a	n/a	LargeLoss	69.512	2	71.495	3.5	74.995	0.336	You keep $5!	75.411	1.614	1	254	Correct Response!
n/a	n/a	SmallLoss	77.011	2	78.994	3.5	82.494	0.336	You lose $0.20!	82.91	1.614	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	84.51	2	86.493	1.5	87.993	0.316	No money at stake!	88.393	1.634	0	0	You pressed too slow!
n/a	n/a	LargeLoss	90.01	2	91.993	4.0	95.992	0.316	You keep $5!	96.392	1.634	1	242	Correct Response!
n/a	n/a	NoMoneyStake	98.009	2	99.992	4.0	103.991	0.316	No money at stake!	104.391	1.634	0	0	You pressed too slow!
n/a	n/a	LargeLoss	106.008	2	107.991	3.0	110.991	0.316	You keep $5!	111.391	1.634	1	245	Correct Response!
n/a	n/a	SmallLoss	113.007	2	114.99	1.5	116.49	0.316	You keep $0.20!	116.89	1.634	1	303	Correct Response!
n/a	n/a	LargeGain	118.507	2	120.49	2.0	122.489	0.286	You earn $5!	122.856	1.664	1	257	Correct Response!
n/a	n/a	SmallLoss	124.506	2	126.489	4.0	130.489	0.286	You lose $0.20!	130.855	1.664	0	0	You pressed too slow!
n/a	n/a	SmallGain	132.505	2	134.488	1.5	135.988	0.286	You did not earn $0.20!	136.355	1.664	0	0	You pressed too slow!
n/a	n/a	LargeLoss	138.004	2	139.987	1.5	141.487	0.266	You lose $5!	141.837	1.684	0	0	You pressed too slow!
n/a	n/a	LargeGain	143.504	2	145.487	3.5	148.986	0.266	You earn $5!	149.336	1.684	1	263	Correct Response!
n/a	n/a	SmallGain	151.003	2	152.986	4.0	156.986	0.266	You did not earn $0.20!	157.336	1.684	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	159.002	2	160.985	2.0	162.985	0.306	No money at stake!	163.368	1.644	0	0	You pressed too slow!
n/a	n/a	LargeLoss	165.001	2	166.985	2.0	168.984	0.306	You lose $5!	169.368	1.644	0	0	You pressed too slow!
n/a	n/a	SmallGain	171.001	2	172.984	2.0	174.984	0.306	You earn $0.20!	175.367	1.644	1	248	Correct Response!
n/a	n/a	NoMoneyStake	177.0	2	178.983	3.0	181.983	0.306	No money at stake!	182.366	1.644	1	249	Correct Response!
n/a	n/a	SmallGain	183.999	2	185.982	3.5	189.482	0.306	You earn $0.20!	189.865	1.644	1	276	Correct Response!
n/a	n/a	NoMoneyStake	191.498	2	193.482	1.5	194.981	0.326	No money at stake!	195.398	1.624	0	0	You pressed too slow!
n/a	n/a	SmallGain	196.998	2	198.981	1.5	200.481	0.326	You did not earn $0.20!	200.897	1.624	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	202.497	2	204.48	2.0	206.48	0.326	No money at stake!	206.897	1.624	0	0	You pressed too slow!
n/a	n/a	LargeLoss	208.497	2	210.48	1.5	211.98	0.326	You keep $5!	212.379	1.624	1	293	Correct Response!
n/a	n/a	NoMoneyStake	213.996	2	215.979	3.5	219.479	0.326	No money at stake!	219.895	1.624	1	241	Correct Response!
n/a	n/a	LargeLoss	221.495	2	223.478	1.5	224.978	0.326	You keep $5!	225.378	1.624	1	306	Correct Response!
n/a	n/a	NoMoneyStake	226.995	2	228.978	1.5	230.477	0.306	No money at stake!	230.861	1.644	0	0	You pressed too slow!
n/a	n/a	SmallLoss	232.494	2	234.477	1.5	235.977	0.306	You keep $0.20!	236.36	1.644	1	242	Correct Response!
n/a	n/a	LargeGain	237.993	2	239.976	1.5	241.476	0.306	You earn $5!	241.86	1.644	1	268	Correct Response!
n/a	n/a	NoMoneyStake	243.493	2	245.476	1.5	246.976	0.306	No money at stake!	247.359	1.644	1	227	Correct Response!
n/a	n/a	LargeGain	248.992	2	250.975	2.0	252.975	0.306	You earn $5!	253.358	1.644	1	249	Correct Response!
n/a	n/a	LargeLoss	254.991	2	256.975	2.5	259.474	0.276	You keep $5!	259.824	1.674	1	260	Correct Response!
n/a	n/a	LargeGain	261.491	2	263.474	3.0	266.473	0.276	You earn $5!	266.823	1.674	1	260	Correct Response!
n/a	n/a	LargeLoss	268.49	2	270.473	1.5	271.973	0.276	You lose $5!	272.323	1.674	0	0	You pressed too soon!
n/a	n/a	LargeGain	273.989	2	275.972	1.5	277.472	0.246	You did not earn $5!	277.806	1.704	0	0	You pressed too slow!
n/a	n/a	SmallGain	279.489	2	281.472	3.0	284.471	0.246	You did not earn $0.20!	284.805	1.704	0	0	You pressed too slow!
n/a	n/a	SmallLoss	286.488	2	288.471	1.5	289.971	0.246	You lose $0.20!	290.304	1.704	0	0	You pressed too slow!
n/a	n/a	LargeGain	291.987	2	293.97	1.5	295.47	0.286	You did not earn $5!	295.837	1.664	0	0	You pressed too slow!
n/a	n/a	SmallLoss	297.487	2	299.47	2.5	301.97	0.286	You keep $0.20!	302.336	1.664	1	248	Correct Response!
n/a	n/a	SmallGain	303.986	2	305.969	1.5	307.469	0.286	You earn $0.20!	307.836	1.664	1	271	Correct Response!
n/a	n/a	SmallLoss	309.485	2	311.468	1.5	312.968	0.326	You keep $0.20!	313.368	1.624	1	266	Correct Response!
