onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallGain	0.014	2	1.997	1.5	3.497	0.29	You did not earn $0.20!	3.864	1.66	0	0	You pressed too slow!
n/a	n/a	LargeGain	5.514	2	7.497	1.5	8.997	0.29	You earn $5!	9.363	1.66	1	236	Correct Response!
n/a	n/a	LargeGain	11.013	2	12.996	1.5	14.496	0.29	You earn $5!	14.863	1.66	1	225	Correct Response!
n/a	n/a	SmallGain	16.512	2	18.495	4.0	22.495	0.27	You earn $0.20!	22.845	1.68	1	215	Correct Response!
n/a	n/a	LargeLoss	24.511	2	26.495	1.5	27.994	0.27	You keep $5!	28.344	1.68	1	255	Correct Response!
n/a	n/a	LargeLoss	30.011	2	31.994	1.5	33.494	0.27	You keep $5!	33.844	1.68	1	251	Correct Response!
n/a	n/a	LargeGain	35.51	2	37.493	1.5	38.993	0.24	You earn $5!	39.31	1.71	1	202	Correct Response!
n/a	n/a	SmallLoss	41.01	2	42.993	3.5	46.492	0.24	You keep $0.20!	46.809	1.71	1	213	Correct Response!
n/a	n/a	LargeGain	48.509	2	50.492	4.0	54.491	0.24	You earn $5!	54.808	1.71	1	225	Correct Response!
n/a	n/a	LargeLoss	56.508	2	58.491	2.5	60.991	0.19	You lose $5!	61.257	1.76	0	0	You pressed too slow!
n/a	n/a	SmallLoss	63.007	2	64.99	1.5	66.49	0.19	You lose $0.20!	66.757	1.76	0	0	You pressed too slow!
n/a	n/a	SmallLoss	68.507	2	70.49	1.5	71.989	0.19	You lose $0.20!	72.256	1.76	0	0	You pressed too slow!
n/a	n/a	LargeLoss	74.006	2	75.989	1.5	77.489	0.21	You keep $5!	77.772	1.74	1	195	Correct Response!
n/a	n/a	NoMoneyStake	79.505	2	81.488	1.5	82.988	0.21	No money at stake!	83.288	1.74	0	0	You pressed too slow!
n/a	n/a	SmallLoss	85.005	2	86.988	1.5	88.488	0.21	You lose $0.20!	88.788	1.74	0	0	You pressed too slow!
