onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	LargeLoss	0.011	2	2.011	1.5	3.511	0.282	You lose $5!	3.877	1.668	0	0	You pressed too slow!
n/a	n/a	LargeGain	5.527	2	7.51	2.0	9.51	0.282	You earn $5!	9.876	1.668	1	252	Correct Response!
n/a	n/a	NoMoneyStake	11.526	2	13.509	4.0	17.509	0.282	No money at stake!	17.876	1.668	1	255	Correct Response!
n/a	n/a	LargeLoss	19.525	2	21.509	1.5	23.008	0.282	You lose $5!	23.375	1.668	0	0	You pressed too slow!
n/a	n/a	LargeGain	25.025	2	27.008	1.5	28.508	0.322	You earn $5!	28.908	1.628	1	251	Correct Response!
n/a	n/a	LargeLoss	30.524	2	32.507	2.0	34.507	0.322	You keep $5!	34.907	1.628	1	242	Correct Response!
n/a	n/a	NoMoneyStake	36.524	2	38.507	3.0	41.506	0.322	No money at stake!	41.906	1.628	1	263	Correct Response!
n/a	n/a	SmallGain	43.523	2	45.506	2.0	47.506	0.322	You earn $0.20!	47.906	1.628	1	258	Correct Response!
n/a	n/a	NoMoneyStake	49.522	2	51.505	2.0	53.505	0.302	No money at stake!	53.888	1.648	1	264	Correct Response!
n/a	n/a	SmallGain	55.521	2	57.505	2.5	60.004	0.302	You earn $0.20!	60.388	1.648	1	264	Correct Response!
n/a	n/a	NoMoneyStake	62.021	2	64.004	3.5	67.503	0.302	No money at stake!	67.887	1.648	1	247	Correct Response!
n/a	n/a	SmallGain	69.52	2	71.503	4.0	75.503	0.302	You earn $0.20!	75.886	1.648	1	245	Correct Response!
n/a	n/a	SmallLoss	77.519	2	79.502	4.0	83.502	0.302	You keep $0.20!	83.885	1.648	1	264	Correct Response!
n/a	n/a	SmallGain	85.518	2	87.501	1.5	89.001	0.252	You did not earn $0.20!	89.334	1.698	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	91.018	2	93.001	1.5	94.5	0.252	No money at stake!	94.834	1.698	0	0	You pressed too slow!
n/a	n/a	LargeLoss	96.517	2	98.5	1.5	100.0	0.252	You keep $5!	100.333	1.698	1	251	Correct Response!
n/a	n/a	SmallLoss	102.016	2	103.999	2.0	105.999	0.252	You keep $0.20!	106.333	1.698	1	225	Correct Response!
n/a	n/a	SmallGain	108.016	2	109.999	3.0	112.998	0.222	You did not earn $0.20!	113.298	1.728	0	0	You pressed too slow!
n/a	n/a	LargeLoss	115.015	2	116.998	3.5	120.498	0.222	You lose $5!	120.798	1.728	0	0	You pressed too slow!
n/a	n/a	NoMoneyStake	122.514	2	124.497	1.5	125.997	0.222	No money at stake!	126.297	1.728	0	0	You pressed too slow!
