onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	LargeLoss	0.078	2	2.011	1.5	3.511	0.325	You keep $5!	3.928	1.625	1	297	Correct Response!
n/a	n/a	LargeLoss	5.527	2	7.51	2.5	10.01	0.325	You keep $5!	10.41	1.625	1	257	Correct Response!
n/a	n/a	NoMoneyStake	12.043	2	14.01	2.0	16.01	0.325	No money at stake!	16.409	1.625	1	261	Correct Response!
n/a	n/a	SmallLoss	18.026	2	20.009	2.5	22.509	0.325	You keep $0.20!	22.909	1.625	1	290	Correct Response!
n/a	n/a	LargeGain	24.559	2	26.508	2.0	28.508	0.275	You earn $5!	28.858	1.675	1	238	Correct Response!
n/a	n/a	NoMoneyStake	30.525	2	32.508	1.5	34.008	0.275	No money at stake!	34.374	1.675	0	0	You pressed too slow!
n/a	n/a	SmallLoss	36.024	2	38.007	1.5	39.507	0.275	You keep $0.20!	39.857	1.675	1	237	Correct Response!
n/a	n/a	NoMoneyStake	41.523	2	43.507	2.5	46.006	0.275	No money at stake!	46.356	1.675	1	242	Correct Response!
n/a	n/a	NoMoneyStake	48.023	2	50.006	3.0	53.005	0.275	No money at stake!	53.355	1.675	1	257	Correct Response!
n/a	n/a	SmallGain	55.039	2	57.005	3.5	60.505	0.275	You earn $0.20!	60.855	1.675	1	242	Correct Response!
n/a	n/a	SmallGain	62.521	2	64.504	2.5	67.004	0.225	You did not earn $0.20!	67.321	1.725	0	0	You pressed too slow!
n/a	n/a	LargeGain	69.02	2	71.003	1.5	72.503	0.225	You earn $5!	72.803	1.725	1	206	Correct Response!
n/a	n/a	NoMoneyStake	74.52	2	76.503	1.5	78.003	0.225	No money at stake!	78.303	1.725	1	187	Correct Response!
n/a	n/a	SmallGain	80.019	2	82.002	1.5	83.502	0.225	You earn $0.20!	83.802	1.725	1	99	Correct Response!
n/a	n/a	SmallGain	85.519	2	87.502	4.0	91.501	0.195	You did not earn $0.20!	91.784	1.755	0	0	You pressed too slow!
n/a	n/a	LargeGain	93.518	2	95.501	1.5	97.001	0.195	You did not earn $5!	97.284	1.755	0	0	You pressed too slow!
n/a	n/a	LargeGain	99.017	2	101.0	3.0	104.0	0.195	You did not earn $5!	104.283	1.755	0	0	You pressed too slow!
n/a	n/a	SmallGain	106.016	2	107.999	1.5	109.499	0.235	You did not earn $0.20!	109.816	1.715	0	0	You pressed too slow!
