onset	duration	TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	TRIAL_RESULT	FEEDBACK_ONSET	FEEDBACK_DURATION	PROBE_HIT	PROBE_MRT	RESULT_REASON
n/a	n/a	SmallLoss	0.031	2	1.998	1.5	3.497	0.304	You keep $0.20!	3.881	1.646	1	294	Correct Response!
n/a	n/a	LargeLoss	5.514	2	7.497	1.5	8.996	0.304	You keep $5!	9.38	1.646	1	285	Correct Response!
n/a	n/a	NoMoneyStake	11.013	2	12.996	3.5	16.495	0.304	No money at stake!	16.878	1.646	1	281	Correct Response!
n/a	n/a	NoMoneyStake	18.511	2	20.494	1.5	21.994	0.304	No money at stake!	22.377	1.646	1	284	Correct Response!
n/a	n/a	LargeGain	24.01	2	25.993	3.5	29.493	0.304	You earn $5!	29.876	1.646	1	281	Correct Response!
n/a	n/a	SmallGain	31.509	2	33.492	3.0	36.492	0.254	You did not earn $0.20!	36.825	1.696	0	0	You pressed too slow!
n/a	n/a	SmallLoss	38.508	2	40.491	1.5	41.991	0.254	You lose $0.20!	42.324	1.696	0	0	You pressed too slow!
n/a	n/a	SmallGain	44.007	2	45.99	1.5	47.49	0.254	You did not earn $0.20!	47.823	1.696	0	0	You pressed too slow!
n/a	n/a	LargeGain	49.506	2	51.489	3.0	54.488	0.274	You did not earn $5!	54.838	1.676	0	0	You pressed too slow!
n/a	n/a	LargeLoss	56.505	2	58.488	1.5	59.988	0.274	You lose $5!	60.337	1.676	0	0	You pressed too slow!
n/a	n/a	SmallGain	62.004	2	63.987	2.0	65.987	0.274	You did not earn $0.20!	66.336	1.676	0	0	You pressed too soon!
n/a	n/a	LargeGain	68.003	2	69.986	2.0	71.985	0.344	You earn $5!	72.402	1.606	1	256	Correct Response!
n/a	n/a	NoMoneyStake	74.002	2	75.985	2.5	78.484	0.344	No money at stake!	78.901	1.606	1	287	Correct Response!
n/a	n/a	LargeGain	80.501	2	82.484	1.5	83.983	0.344	You earn $5!	84.4	1.606	1	261	Correct Response!
n/a	n/a	LargeLoss	86.0	2	87.983	2.5	90.482	0.344	You keep $5!	90.899	1.606	1	264	Correct Response!
